Generated trajectory:
Group: 9 
ID: 1 
Name: forward_short_y_12 
finalTime: 1.297023  
Cost: 1.375200  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 1.000000 0.000000 
To: 0.000000 2.000000 2.000000 0.000000 2.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.099771 0.000000 0.099769 2.000014 0.000000 1.001347 0.000630 -0.009395 0.000000 0.000000 9.826920
0.199542 0.000000 0.200689 2.000223 0.000000 1.028904 0.003840 -0.052472 0.000000 0.000000 9.856459
0.299313 0.000000 0.306664 2.000764 0.000000 1.103203 0.006681 -0.099713 0.000000 0.000000 9.873329
0.399084 0.000000 0.422227 2.001469 0.000000 1.219417 0.006918 -0.136622 0.000000 0.000000 9.884594
0.498855 0.000000 0.550928 2.002039 0.000000 1.363759 0.004084 -0.156704 0.000000 0.000000 9.887914
0.598626 0.000000 0.694706 2.002231 0.000000 1.518689 -0.000332 -0.158743 0.000000 0.000000 9.885915
0.698397 0.000000 0.853755 2.001991 0.000000 1.667265 -0.004237 -0.144699 0.000000 0.000000 9.878961
0.798168 0.000000 1.026722 2.001451 0.000000 1.795749 -0.006182 -0.118780 0.000000 0.000000 9.868796
0.897939 0.000000 1.211088 2.000837 0.000000 1.894515 -0.005780 -0.085348 0.000000 0.000000 9.856256
0.997710 0.000000 1.403622 2.000350 0.000000 1.959346 -0.003834 -0.051005 0.000000 0.000000 9.842561
1.097481 0.000000 1.600997 2.000082 0.000000 1.992388 -0.001590 -0.021609 0.000000 0.000000 9.828688
1.197252 0.000000 1.800373 2.000003 0.000000 2.001244 -0.000197 -0.003139 0.000000 0.000000 9.813743
1.297023 0.000000 2.000000 2.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 9.806000
