Generated trajectory:
Group: 9 
ID: 10 
Name: forward_short_x_21 
finalTime: 1.304129  
Cost: 1.379870  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 2.000000 0.000000 0.000000 
To: 2.000000 0.000000 2.000000 1.000000 0.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.100318 0.200517 0.000000 2.000003 1.997120 0.000000 0.000185 0.000000 -0.003490 0.000000 9.813367
0.200635 0.400352 0.000000 2.000078 1.983930 0.000000 0.001504 0.000000 -0.021643 0.000000 9.827465
0.300953 0.597761 0.000000 2.000332 1.947002 0.000000 0.003604 0.000000 -0.050376 0.000000 9.840472
0.401271 0.789956 0.000000 2.000790 1.879337 0.000000 0.005387 0.000000 -0.083051 0.000000 9.852714
0.501588 0.973744 0.000000 2.001363 1.779590 0.000000 0.005717 0.000000 -0.114677 0.000000 9.864810
0.601906 1.146046 0.000000 2.001866 1.651394 0.000000 0.003935 0.000000 -0.139881 0.000000 9.874124
0.702224 1.304432 0.000000 2.002086 1.504189 0.000000 0.000223 0.000000 -0.152716 0.000000 9.879332
0.802541 1.447671 0.000000 2.001898 1.352024 0.000000 -0.003880 0.000000 -0.149775 0.000000 9.881153
0.902859 1.576082 0.000000 2.001362 1.211450 0.000000 -0.006395 0.000000 -0.129331 0.000000 9.877197
1.003176 1.691687 0.000000 2.000710 1.099334 0.000000 -0.006133 0.000000 -0.093020 0.000000 9.865128
1.103494 1.798040 0.000000 2.000209 1.028596 0.000000 -0.003568 0.000000 -0.047078 0.000000 9.850677
1.203812 1.899597 0.000000 2.000013 1.002789 0.000000 -0.000580 0.000000 -0.007390 0.000000 9.825270
1.304129 2.000000 0.000000 2.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
