Generated trajectory:
Group: 10 
ID: 13 
Name: backward_short_x_52 
finalTime: 1.437942  
Cost: 2.000302  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -5.000000 0.000000 0.000000 
To: -5.000000 0.000000 2.000000 -2.000000 0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -5.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.095863 -0.479009 0.000000 2.000058 -4.991304 0.000000 0.002478 0.000000 0.016246 0.000000 9.885929
0.191726 -0.955531 0.000000 2.000840 -4.938066 0.000000 0.015206 0.000000 0.092283 0.000000 10.012398
0.287588 -1.423061 0.000000 2.003029 -4.801861 0.000000 0.029958 0.000000 0.180200 0.000000 10.102073
0.383451 -1.873619 0.000000 2.006385 -4.586258 0.000000 0.038628 0.000000 0.254151 0.000000 10.176868
0.479314 -2.300425 0.000000 2.010139 -4.309934 0.000000 0.038157 0.000000 0.306358 0.000000 10.230894
0.575177 -2.698591 0.000000 2.013415 -3.991141 0.000000 0.028726 0.000000 0.343695 0.000000 10.263455
0.671039 -3.064726 0.000000 2.015394 -3.644172 0.000000 0.011518 0.000000 0.365755 0.000000 10.278410
0.766902 -3.396888 0.000000 2.015499 -3.285365 0.000000 -0.009541 0.000000 0.368774 0.000000 10.275801
0.862765 -3.694891 0.000000 2.013620 -2.935249 0.000000 -0.028810 0.000000 0.348216 0.000000 10.252801
0.958628 -3.960654 0.000000 2.010230 -2.616528 0.000000 -0.040222 0.000000 0.303933 0.000000 10.212267
1.054490 -4.198264 0.000000 2.006280 -2.351428 0.000000 -0.040161 0.000000 0.237878 0.000000 10.154858
1.150353 -4.413781 0.000000 2.002874 -2.157914 0.000000 -0.029529 0.000000 0.157848 0.000000 10.080167
1.246216 -4.614558 0.000000 2.000770 -2.044314 0.000000 -0.014175 0.000000 0.075116 0.000000 9.994026
1.342079 -4.808132 0.000000 2.000052 -2.004597 0.000000 -0.002236 0.000000 0.011555 0.000000 9.878036
1.437942 -5.000000 0.000000 2.000000 -2.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 9.806000
