Generated trajectory:
Group: 10 
ID: 22 
Name: backward_short_y_55 
finalTime: 1.019567  
Cost: 1.466799  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 -5.000000 0.000000 
To: 0.000000 -5.000000 2.000000 0.000000 -5.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 -5.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.101957 0.000000 -0.509484 2.000002 0.000000 -4.992952 0.000150 -0.007660 0.000000 0.000000 9.812335
0.203913 0.000000 -1.017397 2.000045 0.000000 -4.964708 0.000476 -0.040646 0.000000 0.000000 9.807703
0.305870 0.000000 -1.520741 2.000010 0.000000 -4.904815 -0.001450 -0.065481 0.000000 0.000000 9.803800
0.407827 0.000000 -2.017154 1.999760 0.000000 -4.833518 -0.003158 -0.061605 0.000000 0.000000 9.819716
0.509784 0.000000 -2.507076 1.999470 0.000000 -4.783116 -0.001861 -0.024397 0.000000 0.000000 9.841808
0.611740 0.000000 -2.994184 1.999483 0.000000 -4.781703 0.002123 0.032783 0.000000 0.000000 9.844428
0.713697 0.000000 -3.484138 1.999797 0.000000 -4.838857 0.003308 0.089990 0.000000 0.000000 9.837040
0.815654 0.000000 -3.982527 2.000017 0.000000 -4.940732 0.000594 0.105890 0.000000 0.000000 9.831302
0.917611 0.000000 -4.490059 2.000004 0.000000 -5.000000 -0.000186 0.020825 0.000000 0.000000 9.814166
1.019567 0.000000 -5.000000 2.000000 0.000000 -5.000000 -0.000000 -0.000000 0.000000 0.000000 9.806000
