Generated trajectory:
Group: 11 
ID: 17 
Name: forward_x_parallell_neg1_y_11 
finalTime: 1.943121  
Cost: 2.241459  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 1.000000 0.000000 0.000000 
To: 2.000000 -1.000000 2.000000 1.000000 0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.097156 0.097112 -0.000060 2.000012 0.999209 -0.003035 0.000552 0.012496 0.000743 0.000000 9.825196
0.194312 0.194225 -0.001699 2.000185 1.000449 -0.040067 0.003146 0.069984 0.004194 0.000000 9.856826
0.291468 0.291633 -0.009856 2.000563 1.005362 -0.137962 0.003978 0.133305 0.008081 0.000000 9.879944
0.388624 0.389687 -0.030285 2.000791 1.013609 -0.290395 -0.000208 0.182386 0.011188 0.000000 9.901132
0.485780 0.488663 -0.067445 2.000376 1.024130 -0.478518 -0.008817 0.207256 0.012955 0.000000 9.919454
0.582936 0.588719 -0.123621 1.999053 1.035608 -0.677607 -0.018142 0.205383 0.013218 0.000000 9.932812
0.680092 0.689878 -0.198659 1.996979 1.046571 -0.862801 -0.023586 0.178358 0.011836 0.000000 9.941894
0.777248 0.792022 -0.290103 1.994701 1.055747 -1.012008 -0.022008 0.130721 0.009376 0.000000 9.948078
0.874404 0.894933 -0.393575 1.992942 1.062168 -1.108011 -0.013128 0.068581 0.005987 0.000000 9.951726
0.971560 0.998299 -0.503319 1.992298 1.065026 -1.139917 0.000268 -0.000884 0.002013 0.000000 9.952662
1.068716 1.101752 -0.612874 1.992992 1.063952 -1.104143 0.013591 -0.070218 -0.002085 0.000000 9.951151
1.165872 1.204912 -0.715797 1.994786 1.059036 -1.004687 0.022264 -0.131947 -0.005899 0.000000 9.946941
1.263028 1.307431 -0.806391 1.997077 1.050906 -0.852753 0.023586 -0.179023 -0.008807 0.000000 9.939920
1.360185 1.409047 -0.880361 1.999138 1.040653 -0.665899 0.017879 -0.205108 -0.010501 0.000000 9.929542
1.457341 1.509611 -0.935376 2.000427 1.029439 -0.466578 0.008407 -0.205786 -0.010870 0.000000 9.915706
1.554497 1.609095 -0.971429 2.000804 1.018710 -0.279795 -0.000116 -0.179610 -0.009487 0.000000 9.898116
1.651653 1.707621 -0.990954 2.000557 1.009879 -0.130155 -0.004051 -0.129563 -0.006893 0.000000 9.877250
1.748809 1.805419 -0.998528 2.000179 1.003886 -0.035978 -0.003091 -0.065759 -0.003538 0.000000 9.854401
1.845965 1.902794 -0.999954 2.000011 1.001103 -0.002413 -0.000526 -0.010323 -0.000560 0.000000 9.824268
1.943121 2.000000 -1.000000 2.000000 1.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 9.806000
