Generated trajectory:
Group: 12 
ID: 28 
Name: fwd_smooth_straighty_upz_2 
finalTime: 2.169114  
Cost: 3.728425  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 2.000000 0.000000 
To: 0.000000 2.000000 4.000000 0.000000 0.000000 2.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.098596 0.000000 0.197067 2.000091 0.000000 1.996607 0.003740 0.005732 0.000000 0.000000 9.921678
0.197192 0.000000 0.393178 2.001363 0.000000 1.976873 0.025260 0.032751 0.000000 0.000000 10.121372
0.295788 0.000000 0.585831 2.005612 0.000000 1.925404 0.063515 0.065633 0.000000 0.000000 10.295535
0.394384 0.000000 0.771745 2.014391 0.000000 1.840409 0.117003 0.096037 0.000000 0.000000 10.470170
0.492980 0.000000 0.947773 2.029142 0.000000 1.725954 0.184474 0.119621 0.000000 0.000000 10.634901
0.591577 0.000000 1.111364 2.051203 0.000000 1.589462 0.265202 0.135014 0.000000 0.000000 10.789403
0.690173 0.000000 1.260750 2.081860 0.000000 1.439155 0.358761 0.142638 0.000000 0.000000 10.929703
0.788769 0.000000 1.394947 2.122351 0.000000 1.282493 0.464579 0.144002 0.000000 0.000000 11.054466
0.887365 0.000000 1.513645 2.173852 0.000000 1.125692 0.581944 0.140463 0.000000 0.000000 11.161293
0.985961 0.000000 1.617071 2.237440 0.000000 0.973271 0.709469 0.134112 0.000000 0.000000 11.246450
1.084557 0.000000 1.705801 2.314026 0.000000 0.827951 0.845252 0.126193 0.000000 0.000000 11.308025
1.183153 0.000000 1.780624 2.404312 0.000000 0.691351 0.986960 0.117708 0.000000 0.000000 11.343446
1.281749 0.000000 1.842429 2.508751 0.000000 0.563853 1.131843 0.109534 0.000000 0.000000 11.350055
1.380345 0.000000 1.892126 2.627508 0.000000 0.445928 1.276879 0.100828 0.000000 0.000000 11.325282
1.478941 0.000000 1.930701 2.760441 0.000000 0.338325 1.418841 0.091871 0.000000 0.000000 11.266672
1.577538 0.000000 1.959206 2.907077 0.000000 0.241867 1.554230 0.081924 0.000000 0.000000 11.171658
1.676134 0.000000 1.978818 3.066586 0.000000 0.158304 1.679353 0.070051 0.000000 0.000000 11.037372
1.774730 0.000000 1.990929 3.237765 0.000000 0.090156 1.790255 0.055463 0.000000 0.000000 10.862434
1.873326 0.000000 1.997201 3.419005 0.000000 0.040353 1.882654 0.037919 0.000000 0.000000 10.639834
1.971922 0.000000 1.999555 3.608241 0.000000 0.010831 1.951843 0.018801 0.000000 0.000000 10.383670
2.070518 0.000000 1.999986 3.802986 0.000000 0.000705 1.992722 0.002930 0.000000 0.000000 10.029282
2.169114 0.000000 2.000000 4.000000 0.000000 0.000000 2.000000 -0.000000 0.000000 0.000000 9.806000
