Generated trajectory:
Group: 12 
ID: 29 
Name: fwd_smooth_straighty_downz_2 
finalTime: 2.064546  
Cost: 3.388596  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 2.000000 0.000000 
To: 0.000000 2.000000 0.000000 0.000000 0.000000 -2.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.103227 0.000000 0.206338 1.999873 0.000000 1.997470 -0.004858 0.001826 0.000000 0.000000 9.666633
0.206455 0.000000 0.412199 1.998171 0.000000 1.989335 -0.032121 0.012317 0.000000 0.000000 9.434236
0.309682 0.000000 0.616523 1.992529 0.000000 1.966015 -0.080522 0.033736 0.000000 0.000000 9.245108
0.412909 0.000000 0.817235 1.980849 0.000000 1.917854 -0.149087 0.065721 0.000000 0.000000 9.066996
0.516137 0.000000 1.011342 1.961082 0.000000 1.836960 -0.237139 0.105840 0.000000 0.000000 8.908478
0.619364 0.000000 1.195206 1.931213 0.000000 1.719036 -0.344815 0.149816 0.000000 0.000000 8.767778
0.722591 0.000000 1.364956 1.889237 0.000000 1.563813 -0.471546 0.192891 0.000000 0.000000 8.651296
0.825819 0.000000 1.516930 1.833261 0.000000 1.375847 -0.615631 0.228525 0.000000 0.000000 8.558708
0.929046 0.000000 1.648190 1.761655 0.000000 1.164275 -0.773673 0.251774 0.000000 0.000000 8.491182
1.032273 0.000000 1.756897 1.673230 0.000000 0.941039 -0.940487 0.259329 0.000000 0.000000 8.450755
1.135501 0.000000 1.842530 1.567403 0.000000 0.719497 -1.109715 0.249810 0.000000 0.000000 8.438976
1.238728 0.000000 1.905973 1.444268 0.000000 0.513398 -1.274794 0.223389 0.000000 0.000000 8.457354
1.341955 0.000000 1.949497 1.304558 0.000000 0.335463 -1.429992 0.183266 0.000000 0.000000 8.508010
1.445183 0.000000 1.976520 1.149519 0.000000 0.194802 -1.571297 0.135763 0.000000 0.000000 8.592574
1.548410 0.000000 1.991142 0.980717 0.000000 0.095432 -1.696343 0.087539 0.000000 0.000000 8.712981
1.651637 0.000000 1.997598 0.799918 0.000000 0.035842 -1.803465 0.045606 0.000000 0.000000 8.869864
1.754865 0.000000 1.999648 0.609062 0.000000 0.008252 -1.890759 0.016513 0.000000 0.000000 9.068674
1.858092 0.000000 1.999988 0.410350 0.000000 0.000554 -1.955296 0.002257 0.000000 0.000000 9.296544
1.961319 0.000000 2.000000 0.206277 0.000000 0.000003 -1.993176 0.000010 0.000000 0.000000 9.609471
2.064546 0.000000 2.000000 0.000000 0.000000 0.000000 -2.000000 0.000000 0.000000 0.000000 9.806000
