Generated trajectory:
Group: 13 
ID: 14 
Name: rev_smooth_straighty_half_right 
finalTime: 1.823806  
Cost: 1.981912  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 -1.000000 0.000000 
To: -1.000000 -2.000000 2.000000 -0.707100 -0.707100 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 -1.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.101323 -0.000040 -0.101307 2.000010 -0.001947 -1.000707 0.000460 0.006787 -0.007689 0.000000 9.821642
0.202645 -0.001138 -0.203438 2.000164 -0.025757 -1.020432 0.002732 0.037165 -0.043321 0.000000 9.845802
0.303968 -0.006626 -0.309199 2.000528 -0.089271 -1.072179 0.004045 0.067170 -0.083588 0.000000 9.863112
0.405290 -0.020476 -0.421548 2.000883 -0.189497 -1.148556 0.002419 0.085608 -0.116178 0.000000 9.877382
0.506613 -0.045898 -0.542315 2.000926 -0.315381 -1.235721 -0.001858 0.088404 -0.134875 0.000000 9.886192
0.607935 -0.084752 -0.671779 2.000496 -0.452094 -1.317550 -0.006422 0.075179 -0.138077 0.000000 9.891449
0.709258 -0.137377 -0.808618 1.999707 -0.584860 -1.379006 -0.008599 0.048281 -0.127010 0.000000 9.894044
0.810580 -0.202693 -0.950135 1.998881 -0.700603 -1.408253 -0.007086 0.011684 -0.104178 0.000000 9.892904
0.911903 -0.278426 -1.092654 1.998370 -0.789134 -1.398028 -0.002680 -0.029510 -0.073360 0.000000 9.888696
1.013225 -0.361492 -1.232048 1.998362 -0.844823 -1.346838 0.002427 -0.069218 -0.039589 0.000000 9.883375
1.114548 -0.448490 -1.364348 1.998802 -0.867038 -1.259237 0.005812 -0.101723 -0.007288 0.000000 9.877025
1.215870 -0.536183 -1.486326 1.999434 -0.859473 -1.145092 0.006120 -0.122245 0.019535 0.000000 9.869696
1.317193 -0.621901 -1.595959 1.999949 -0.829623 -1.018186 0.003728 -0.127061 0.037010 0.000000 9.861775
1.418516 -0.703928 -1.692828 2.000169 -0.788726 -0.896338 0.000720 -0.112627 0.041769 0.000000 9.852886
1.519838 -0.781771 -1.778361 2.000145 -0.748900 -0.796926 -0.000885 -0.083070 0.035239 0.000000 9.839749
1.621161 -0.856065 -1.855523 2.000047 -0.720129 -0.732916 -0.000817 -0.042767 0.019937 0.000000 9.824070
1.722483 -0.928303 -1.928286 2.000001 -0.708609 -0.709453 -0.000115 -0.006722 0.003250 0.000000 9.811329
1.823806 -1.000000 -2.000000 2.000000 -0.707100 -0.707100 0.000000 -0.000000 -0.000000 0.000000 9.806000
