Generated trajectory:
Group: 2 
ID: 6 
Name: vertical_rev_y_up_z 
finalTime: 3.157484  
Cost: 3.794610  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: 0.000000 -1.000000 3.000000 0.000000 -0.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.101854 0.000000 -0.000007 2.000099 0.000000 -0.000318 0.003942 0.001241 0.000000 0.000000 9.923914
0.203709 0.000000 -0.000189 2.001469 0.000000 -0.004284 0.026012 0.007075 0.000000 0.000000 10.104384
0.305563 0.000000 -0.001122 2.005870 0.000000 -0.015303 0.062407 0.014257 0.000000 0.000000 10.222230
0.407417 0.000000 -0.003567 2.014550 0.000000 -0.033980 0.109574 0.021435 0.000000 0.000000 10.314302
0.509272 0.000000 -0.008297 2.028445 0.000000 -0.060102 0.164236 0.028141 0.000000 0.000000 10.374028
0.611126 0.000000 -0.016045 2.048159 0.000000 -0.093149 0.223393 0.034392 0.000000 0.000000 10.406527
0.712980 0.000000 -0.027493 2.074011 0.000000 -0.132685 0.284327 0.040365 0.000000 0.000000 10.413809
0.814835 0.000000 -0.043284 2.106056 0.000000 -0.178401 0.344586 0.046200 0.000000 0.000000 10.398605
0.916689 0.000000 -0.064037 2.144109 0.000000 -0.230087 0.401977 0.051962 0.000000 0.000000 10.363485
1.018543 0.000000 -0.090347 2.187779 0.000000 -0.287434 0.454589 0.057440 0.000000 0.000000 10.311124
1.120398 0.000000 -0.122761 2.236495 0.000000 -0.349798 0.500798 0.062231 0.000000 0.000000 10.244113
1.222252 0.000000 -0.161735 2.289534 0.000000 -0.415999 0.539290 0.065700 0.000000 0.000000 10.165063
1.324106 0.000000 -0.207570 2.346057 0.000000 -0.484136 0.569083 0.067051 0.000000 0.000000 10.076691
1.425961 0.000000 -0.260333 2.405143 0.000000 -0.551497 0.589528 0.065359 0.000000 0.000000 9.981275
1.527815 0.000000 -0.319766 2.465818 0.000000 -0.614441 0.600248 0.059591 0.000000 0.000000 9.881142
1.629669 0.000000 -0.385202 2.527085 0.000000 -0.668600 0.601162 0.049138 0.000000 0.000000 9.779665
1.731524 0.000000 -0.455513 2.587953 0.000000 -0.709444 0.592452 0.033913 0.000000 0.000000 9.680479
1.833378 0.000000 -0.529120 2.647457 0.000000 -0.732585 0.574411 0.013980 0.000000 0.000000 9.585095
1.935232 0.000000 -0.604010 2.704654 0.000000 -0.734056 0.547189 -0.010023 0.000000 0.000000 9.495362
2.037087 0.000000 -0.677820 2.758619 0.000000 -0.711052 0.511001 -0.036456 0.000000 0.000000 9.414548
2.138941 0.000000 -0.748002 2.808457 0.000000 -0.662918 0.466226 -0.062666 0.000000 0.000000 9.345312
2.240795 0.000000 -0.812068 2.853327 0.000000 -0.591488 0.413644 -0.085964 0.000000 0.000000 9.290314
2.342650 0.000000 -0.867847 2.892502 0.000000 -0.501107 0.354670 -0.103385 0.000000 0.000000 9.252272
2.444504 0.000000 -0.913734 2.925435 0.000000 -0.398604 0.291535 -0.112267 0.000000 0.000000 9.233591
2.546358 0.000000 -0.948930 2.951848 0.000000 -0.292718 0.227194 -0.110844 0.000000 0.000000 9.236771
2.648213 0.000000 -0.973578 2.971792 0.000000 -0.193138 0.165103 -0.098744 0.000000 0.000000 9.264854
2.750067 0.000000 -0.988805 2.985676 0.000000 -0.109140 0.108747 -0.077426 0.000000 0.000000 9.319725
2.851921 0.000000 -0.996590 2.994246 0.000000 -0.047951 0.061272 -0.050411 0.000000 0.000000 9.406389
2.953776 0.000000 -0.999458 2.998556 0.000000 -0.012679 0.025423 -0.023226 0.000000 0.000000 9.518603
3.055630 0.000000 -0.999983 2.999898 0.000000 -0.000848 0.003926 -0.003496 0.000000 0.000000 9.692201
3.157484 0.000000 -1.000000 3.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
