Generated trajectory:
Group: 3 
ID: 25 
Name: down_short_z_11 
finalTime: 0.998090  
Cost: 0.999039  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 -1.000000 
To: 0.000000 0.000000 1.000000 0.000000 0.000000 -1.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 -1.000000 0.000000 0.000000 0.000000 9.806000
0.099809 0.000000 0.000000 1.900183 0.000000 0.000000 -1.000269 0.000000 0.000000 0.000000 9.799715
0.199618 0.000000 0.000000 1.800297 0.000000 0.000000 -1.001374 0.000000 0.000000 0.000000 9.793427
0.299427 0.000000 0.000000 1.700286 0.000000 0.000000 -1.002634 0.000000 0.000000 0.000000 9.795099
0.399236 0.000000 0.000000 1.600164 0.000000 0.000000 -1.003562 0.000000 0.000000 0.000000 9.800029
0.499045 0.000000 0.000000 1.499978 0.000000 0.000000 -1.003880 0.000000 0.000000 0.000000 9.806930
0.598854 0.000000 0.000000 1.399795 0.000000 0.000000 -1.003497 0.000000 0.000000 0.000000 9.813800
0.698663 0.000000 0.000000 1.299682 0.000000 0.000000 -1.002515 0.000000 0.000000 0.000000 9.818500
0.798472 0.000000 0.000000 1.199685 0.000000 0.000000 -1.001237 0.000000 0.000000 0.000000 9.819744
0.898281 0.000000 0.000000 1.099812 0.000000 0.000000 -1.000165 0.000000 0.000000 0.000000 9.812756
0.998090 0.000000 0.000000 1.000000 0.000000 0.000000 -1.000000 0.000000 0.000000 0.000000 9.806000
