Generated trajectory:
Group: 3 
ID: 3 
Name: backward_short_x_01 
finalTime: 1.500948  
Cost: 1.643168  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: -1.000000 0.000000 2.000000 -1.000000 0.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.083386 -0.000031 0.000000 2.000012 -0.001836 0.000000 0.000630 0.000000 -0.008833 0.000000 9.830631
0.166772 -0.000891 0.000000 2.000189 -0.024649 0.000000 0.003967 0.000000 -0.050704 0.000000 9.867627
0.250158 -0.005256 0.000000 2.000678 -0.086850 0.000000 0.007537 0.000000 -0.100159 0.000000 9.888377
0.333544 -0.016454 0.000000 2.001379 -0.187605 0.000000 0.008751 0.000000 -0.143118 0.000000 9.903295
0.416930 -0.037375 0.000000 2.002048 -0.318105 0.000000 0.006789 0.000000 -0.171882 0.000000 9.911483
0.500316 -0.069962 0.000000 2.002441 -0.465038 0.000000 0.002352 0.000000 -0.183494 0.000000 9.911480
0.583702 -0.114997 0.000000 2.002421 -0.614406 0.000000 -0.002779 0.000000 -0.178523 0.000000 9.906672
0.667088 -0.172138 0.000000 2.002013 -0.753432 0.000000 -0.006681 0.000000 -0.159087 0.000000 9.897305
0.750474 -0.240066 0.000000 2.001371 -0.871656 0.000000 -0.008290 0.000000 -0.128835 0.000000 9.884661
0.833860 -0.316729 0.000000 2.000699 -0.962081 0.000000 -0.007467 0.000000 -0.092419 0.000000 9.870319
0.917246 -0.399651 0.000000 2.000170 -1.021575 0.000000 -0.005069 0.000000 -0.054617 0.000000 9.854834
1.000632 -0.486264 0.000000 1.999865 -1.051141 0.000000 -0.002275 0.000000 -0.020534 0.000000 9.839966
1.084018 -0.574256 0.000000 1.999772 -1.055772 0.000000 -0.000121 0.000000 0.005424 0.000000 9.826177
1.167404 -0.661870 0.000000 1.999813 -1.043643 0.000000 0.000922 0.000000 0.019995 0.000000 9.814489
1.250790 -0.748118 0.000000 1.999899 -1.024737 0.000000 0.001003 0.000000 0.022167 0.000000 9.806107
1.334176 -0.832844 0.000000 1.999967 -1.008512 0.000000 0.000596 0.000000 0.014014 0.000000 9.801417
1.417562 -0.916571 0.000000 1.999996 -1.001313 0.000000 0.000135 0.000000 0.002382 0.000000 9.802955
1.500948 -1.000000 0.000000 2.000000 -1.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 9.806000
