Generated trajectory:
Group: 4 
ID: 37 
Name: vertical_rev_x_fwd_y_up_z_-111_000 
finalTime: 2.400905  
Cost: 2.708371  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -0.577400 0.577400 0.577400 
To: -1.000000 1.000000 3.000000 0.000000 -0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -0.577400 0.577400 0.577400 0.000000 0.000000 0.000000 9.806000
0.104387 -0.060245 0.060245 2.060308 -0.576975 0.576966 0.578797 -0.000644 -0.000679 0.000000 9.847946
0.208774 -0.120527 0.120522 2.121076 -0.578542 0.578418 0.586406 -0.003596 -0.003795 0.000000 9.900790
0.313162 -0.181157 0.181125 2.182835 -0.583698 0.583279 0.597124 -0.006938 -0.007311 0.000000 9.916242
0.417549 -0.242510 0.242410 2.245765 -0.592329 0.591423 0.608489 -0.009853 -0.010419 0.000000 9.911663
0.521936 -0.304912 0.304685 2.309809 -0.603563 0.602020 0.618087 -0.011603 -0.012246 0.000000 9.885160
0.626323 -0.368548 0.368126 2.374679 -0.615618 0.613449 0.624058 -0.011464 -0.012015 0.000000 9.842746
0.730710 -0.433383 0.432709 2.439917 -0.626090 0.623471 0.624903 -0.008909 -0.009210 0.000000 9.786964
0.835097 -0.499104 0.498149 2.504923 -0.632097 0.629392 0.619440 -0.003522 -0.003367 0.000000 9.720934
0.939485 -0.565089 0.563869 2.568988 -0.630662 0.628401 0.606732 0.004643 0.005358 0.000000 9.648180
1.043872 -0.630421 0.629011 2.631319 -0.619204 0.617889 0.586161 0.015466 0.016594 0.000000 9.573077
1.148259 -0.693938 0.692453 2.691076 -0.595559 0.595449 0.557348 0.028701 0.029961 0.000000 9.498157
1.252646 -0.754283 0.752849 2.747383 -0.558272 0.559346 0.520037 0.043338 0.044496 0.000000 9.426929
1.357033 -0.810005 0.808735 2.799357 -0.507060 0.509084 0.474419 0.057944 0.058840 0.000000 9.363235
1.461420 -0.859699 0.858674 2.846161 -0.443117 0.445700 0.421125 0.070760 0.071280 0.000000 9.309748
1.565808 -0.902169 0.901423 2.887055 -0.369268 0.371941 0.361485 0.079874 0.079984 0.000000 9.270278
1.670195 -0.936599 0.936117 2.921484 -0.289906 0.292239 0.297678 0.083505 0.083271 0.000000 9.248359
1.774582 -0.962698 0.962429 2.949158 -0.210658 0.212383 0.232614 0.080435 0.079999 0.000000 9.247241
1.878969 -0.980803 0.980679 2.970121 -0.137820 0.138882 0.169670 0.070370 0.069895 0.000000 9.270449
1.983356 -0.991903 0.991860 2.984774 -0.077350 0.077865 0.112265 0.054473 0.054089 0.000000 9.320703
2.087743 -0.997543 0.997534 2.993862 -0.033787 0.033957 0.063573 0.035082 0.034858 0.000000 9.403965
2.192131 -0.999611 0.999610 2.998455 -0.008899 0.008921 0.026508 0.015998 0.015932 0.000000 9.514489
2.296518 -0.999988 0.999988 2.999891 -0.000596 0.000595 0.004102 0.002394 0.002395 0.000000 9.689936
2.400905 -1.000000 1.000000 3.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 9.806000
