Generated trajectory:
Group: 5 
ID: 19 
Name: rev_smooth_straightx_left 
finalTime: 1.593350  
Cost: 1.747416  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -1.000000 0.000000 0.000000 
To: -1.000000 -1.000000 2.000000 -0.000000 -1.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.099584 -0.099542 -0.000045 2.000012 -0.999372 -0.002248 0.000540 0.009028 -0.001478 0.000000 9.824252
0.199169 -0.199175 -0.001288 2.000193 -1.002540 -0.029594 0.003355 0.050306 -0.006964 0.000000 9.851849
0.298753 -0.299334 -0.007447 2.000673 -1.008958 -0.101468 0.006072 0.095284 -0.006648 0.000000 9.871454
0.398338 -0.399958 -0.022836 2.001344 -1.010228 -0.213479 0.007055 0.131175 0.003692 0.000000 9.891280
0.497922 -0.500045 -0.050916 2.002014 -0.996640 -0.353980 0.006139 0.152669 0.023543 0.000000 9.907963
0.597506 -0.597686 -0.093761 2.002529 -0.959860 -0.507190 0.004072 0.156939 0.051051 0.000000 9.917588
0.697091 -0.690226 -0.151792 2.002817 -0.893272 -0.656300 0.001759 0.144875 0.084092 0.000000 9.924176
0.796675 -0.774493 -0.223870 2.002896 -0.793608 -0.787305 -0.000117 0.120781 0.117422 0.000000 9.929050
0.896260 -0.847284 -0.307670 2.002793 -0.663913 -0.890506 -0.001979 0.089344 0.143981 0.000000 9.928190
0.995844 -0.906043 -0.400156 2.002489 -0.513867 -0.961513 -0.004186 0.056503 0.157959 0.000000 9.922464
1.095428 -0.949431 -0.498130 2.001962 -0.357904 -1.001244 -0.006269 0.026948 0.155611 0.000000 9.914101
1.195013 -0.977705 -0.598722 2.001287 -0.213419 -1.015494 -0.006997 0.005641 0.134558 0.000000 9.897875
1.294597 -0.992941 -0.699856 2.000631 -0.098955 -1.013839 -0.005845 -0.005285 0.095987 0.000000 9.873322
1.394182 -0.998848 -0.800449 2.000177 -0.027433 -1.006188 -0.003115 -0.006627 0.048820 0.000000 9.849897
1.493766 -0.999964 -0.900360 2.000011 -0.001846 -1.001301 -0.000485 -0.001273 0.007700 0.000000 9.822546
1.593350 -1.000000 -1.000000 2.000000 -0.000000 -1.000000 0.000000 0.000000 -0.000000 0.000000 9.806000
