Generated trajectory:
Group: 5 
ID: 4 
Name: smooth_revxrevy_left 
finalTime: 1.311719  
Cost: 1.473506  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -0.707100 -0.707100 0.000000 
To: -0.000000 -1.000000 2.000000 0.707100 -0.707100 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -0.707100 -0.707100 0.000000 0.000000 0.000000 0.000000 9.806000
0.100901 -0.071267 -0.071332 2.000020 -0.704201 -0.707416 0.000836 0.004074 0.008663 0.000000 9.832845
0.201803 -0.141272 -0.143141 2.000302 -0.676419 -0.718867 0.005219 0.021274 0.049943 0.000000 9.873343
0.302704 -0.206121 -0.216960 2.001081 -0.600402 -0.746429 0.009967 0.033818 0.101511 0.000000 9.900862
0.403606 -0.260729 -0.294024 2.002224 -0.473996 -0.781433 0.012078 0.035896 0.149607 0.000000 9.925432
0.504507 -0.300339 -0.374543 2.003378 -0.305073 -0.813116 0.010048 0.027335 0.186178 0.000000 9.939799
0.605409 -0.321319 -0.457677 2.004113 -0.107283 -0.831968 0.004012 0.010970 0.207376 0.000000 9.947976
0.706310 -0.321604 -0.541811 2.004137 0.101836 -0.832399 -0.003546 -0.008510 0.208798 0.000000 9.949835
0.807212 -0.301075 -0.625018 2.003440 0.301912 -0.814016 -0.009810 -0.025530 0.189956 0.000000 9.942247
0.908113 -0.261612 -0.705630 2.002287 0.474282 -0.782331 -0.012298 -0.034417 0.153935 0.000000 9.928298
1.009015 -0.206828 -0.782776 2.001114 0.603341 -0.747166 -0.010261 -0.032402 0.104463 0.000000 9.904188
1.109916 -0.141630 -0.856676 2.000312 0.679973 -0.719830 -0.005385 -0.019296 0.050630 0.000000 9.875005
1.210818 -0.071346 -0.928601 2.000020 0.705912 -0.708585 -0.000858 -0.003178 0.007824 0.000000 9.833458
1.311719 -0.000000 -1.000000 2.000000 0.707100 -0.707100 0.000000 -0.000000 -0.000000 0.000000 9.806000
