Generated trajectory:
Group: 8 
ID: 19 
Name: horizontal_diagonal_forth_quadrant_025 
finalTime: 1.481871  
Cost: 1.710800  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: 0.250000 -0.250000 2.000000 0.000000 -0.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.098791 0.000042 -0.000041 2.000005 0.002095 -0.002071 0.000263 0.008389 0.008494 0.000000 9.816103
0.197583 0.001185 -0.001169 2.000086 0.027269 -0.026884 0.001324 0.045294 0.046039 0.000000 9.832852
0.296374 0.006682 -0.006586 2.000201 0.089484 -0.088180 0.000521 0.078619 0.079931 0.000000 9.845492
0.395166 0.019670 -0.019400 2.000102 0.175927 -0.173811 -0.002817 0.094386 0.095304 0.000000 9.854683
0.493957 0.041568 -0.041080 1.999640 0.266206 -0.264037 -0.006242 0.088027 0.088023 0.000000 9.859712
0.592748 0.071714 -0.071037 1.998975 0.339788 -0.338211 -0.006529 0.062099 0.061402 0.000000 9.863575
0.691540 0.107604 -0.106816 1.998492 0.380214 -0.379585 -0.002670 0.021968 0.020855 0.000000 9.864945
0.790331 0.145431 -0.144638 1.998504 0.378275 -0.378833 0.002905 -0.022634 -0.023914 0.000000 9.864871
0.889122 0.180964 -0.180285 1.999005 0.334685 -0.336397 0.006652 -0.062209 -0.063333 0.000000 9.863907
0.987914 0.210494 -0.210021 1.999678 0.259016 -0.261328 0.006279 -0.088550 -0.089070 0.000000 9.860111
1.086705 0.231639 -0.231387 2.000139 0.168262 -0.170287 0.002765 -0.094489 -0.094225 0.000000 9.852781
1.185497 0.243940 -0.243849 2.000228 0.083523 -0.084721 -0.000681 -0.077905 -0.077217 0.000000 9.841945
1.284288 0.248985 -0.248970 2.000095 0.024191 -0.024568 -0.001485 -0.043427 -0.042788 0.000000 9.831764
1.383079 0.249968 -0.249967 2.000006 0.001650 -0.001671 -0.000285 -0.007033 -0.006938 0.000000 9.816668
1.481871 0.250000 -0.250000 2.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
