Generated trajectory:
Group: 9 
ID: 11 
Name: forward_short_y_21 
finalTime: 1.301401  
Cost: 1.374618  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 2.000000 0.000000 
To: 0.000000 2.000000 2.000000 0.000000 1.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.100108 0.000000 0.200099 2.000003 0.000000 1.997174 0.000171 0.003297 0.000000 0.000000 9.812942
0.200216 0.000000 0.399545 2.000072 0.000000 1.984604 0.001409 0.020576 0.000000 0.000000 9.826170
0.300323 0.000000 0.596677 2.000310 0.000000 1.949190 0.003385 0.048613 0.000000 0.000000 9.838400
0.400431 0.000000 0.788788 2.000742 0.000000 1.883527 0.005148 0.081137 0.000000 0.000000 9.853021
0.500539 0.000000 0.972709 2.001305 0.000000 1.785665 0.005801 0.113266 0.000000 0.000000 9.866241
0.600647 0.000000 1.145322 2.001826 0.000000 1.658565 0.004179 0.139610 0.000000 0.000000 9.874346
0.700754 0.000000 1.304105 2.002071 0.000000 1.511413 0.000487 0.153453 0.000000 0.000000 9.880000
0.800862 0.000000 1.447731 2.001906 0.000000 1.358353 -0.003710 0.151458 0.000000 0.000000 9.882242
0.900970 0.000000 1.576427 2.001381 0.000000 1.216055 -0.006371 0.131637 0.000000 0.000000 9.878677
1.001078 0.000000 1.692145 2.000726 0.000000 1.101834 -0.006227 0.095307 0.000000 0.000000 9.866553
1.101185 0.000000 1.798432 2.000215 0.000000 1.029340 -0.003671 0.048495 0.000000 0.000000 9.852011
1.201293 0.000000 1.899806 2.000014 0.000000 1.002832 -0.000601 0.007603 0.000000 0.000000 9.825939
1.301401 0.000000 2.000000 2.000000 0.000000 1.000000 -0.000000 0.000000 0.000000 0.000000 9.806000
