Generated trajectory:
Group: 9 
ID: 17 
Name: horizontal_diagonal_second_quadrant_21 
finalTime: 0.948533  
Cost: 1.222243  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -1.410000 1.410000 0.000000 
To: -1.000000 1.000000 2.000000 -0.707100 0.707100 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -1.410000 1.410000 0.000000 0.000000 0.000000 0.000000 9.806000
0.094853 -0.133636 0.133636 2.000027 -1.406386 1.406404 0.001202 0.009520 0.009603 0.000000 9.846224
0.189707 -0.265983 0.265994 2.000388 -1.377091 1.377362 0.006684 0.053534 0.054047 0.000000 9.891750
0.284560 -0.393396 0.393450 2.001198 -1.301823 1.302418 0.009487 0.102430 0.103110 0.000000 9.909808
0.379413 -0.511656 0.511764 2.001992 -1.186156 1.186581 0.006212 0.138365 0.139219 0.000000 9.931629
0.474266 -0.617727 0.617849 2.002240 -1.048849 1.048710 -0.001237 0.148285 0.149335 0.000000 9.944242
0.569120 -0.710728 0.710815 2.001802 -0.914526 0.914014 -0.007395 0.132447 0.133469 0.000000 9.938123
0.663973 -0.792003 0.792042 2.000991 -0.804793 0.804343 -0.008771 0.096601 0.097289 0.000000 9.913957
0.758826 -0.864672 0.864681 2.000295 -0.734927 0.734740 -0.005301 0.049108 0.049437 0.000000 9.882672
0.853679 -0.932864 0.932864 2.000020 -0.709554 0.709534 -0.000882 0.007716 0.007791 0.000000 9.835944
0.948533 -1.000000 1.000000 2.000000 -0.707100 0.707100 -0.000000 0.000000 0.000000 0.000000 9.806000
