Generated trajectory:
Group: 10 
ID: 2 
Name: backward_short_y_25 
finalTime: 1.451754  
Cost: 2.086763  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 -2.000000 0.000000 
To: 0.000000 -5.000000 2.000000 0.000000 -5.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 -2.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.096784 0.000000 -0.193535 2.000045 0.000000 -2.001208 0.001897 0.012953 0.000000 0.000000 9.866951
0.193567 0.000000 -0.388529 2.000660 0.000000 -2.038356 0.012036 0.074591 0.000000 0.000000 9.968830
0.290351 0.000000 -0.590391 2.002472 0.000000 -2.145626 0.025340 0.151849 0.000000 0.000000 10.052819
0.387134 0.000000 -0.806278 2.005454 0.000000 -2.327731 0.035161 0.226417 0.000000 0.000000 10.126356
0.483918 0.000000 -1.043140 2.008987 0.000000 -2.577058 0.036237 0.288745 0.000000 0.000000 10.190718
0.580701 0.000000 -1.306799 2.012177 0.000000 -2.878588 0.028277 0.333269 0.000000 0.000000 10.245979
0.677485 0.000000 -1.601436 2.014224 0.000000 -3.214089 0.013075 0.358845 0.000000 0.000000 10.278391
0.774269 0.000000 -1.929435 2.014598 0.000000 -3.564963 -0.005479 0.365537 0.000000 0.000000 10.295249
0.871052 0.000000 -2.291444 2.013212 0.000000 -3.914210 -0.022585 0.355472 0.000000 0.000000 10.294637
0.967836 0.000000 -2.686503 2.010399 0.000000 -4.245000 -0.034365 0.327476 0.000000 0.000000 10.269983
1.064619 0.000000 -3.111959 2.006834 0.000000 -4.539204 -0.037685 0.280337 0.000000 0.000000 10.223041
1.161403 0.000000 -3.563310 2.003429 0.000000 -4.776699 -0.031162 0.212836 0.000000 0.000000 10.145559
1.258186 0.000000 -4.034153 2.001023 0.000000 -4.938686 -0.017667 0.124010 0.000000 0.000000 10.049637
1.354970 0.000000 -4.515940 2.000074 0.000000 -5.000000 -0.003083 0.020674 0.000000 0.000000 9.904238
1.451754 0.000000 -5.000000 2.000000 0.000000 -5.000000 -0.000000 0.000000 0.000000 0.000000 9.806000
