Generated trajectory:
Group: 10 
ID: 28 
Name: horizontal_diagonal_third_quadrant_55 
finalTime: 1.332724  
Cost: 1.338874  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -2.230000 -2.230000 0.000000 
To: -3.000000 -3.000000 2.000000 -2.230000 -2.230000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -2.230000 -2.230000 0.000000 0.000000 0.000000 0.000000 9.806000
0.102517 -0.228505 -0.228505 1.999998 -2.228137 -2.228147 0.000001 0.001687 -0.001650 0.000000 9.807839
0.205035 -0.457005 -0.457010 2.000009 -2.230884 -2.230983 0.000220 0.008925 -0.008801 0.000000 9.809586
0.307552 -0.686162 -0.686183 2.000040 -2.240704 -2.240895 0.000356 0.014745 -0.014710 0.000000 9.809082
0.410069 -0.916565 -0.916605 2.000075 -2.254515 -2.254678 0.000300 0.016505 -0.016591 0.000000 9.807955
0.512586 -1.148400 -1.148451 2.000097 -2.267885 -2.267934 0.000124 0.013801 -0.013933 0.000000 9.806592
0.615104 -1.381404 -1.381453 2.000101 -2.276754 -2.276676 -0.000058 0.007817 -0.007933 0.000000 9.805621
0.717621 -1.614972 -1.615009 2.000087 -2.278655 -2.278489 -0.000179 0.000397 -0.000447 0.000000 9.806008
0.820138 -1.848355 -1.848374 2.000068 -2.273260 -2.273096 -0.000196 -0.006194 0.006246 0.000000 9.806943
0.922655 -2.080877 -2.080883 2.000047 -2.262309 -2.262223 -0.000213 -0.010221 0.010309 0.000000 9.807387
1.025173 -2.312136 -2.312137 2.000024 -2.249323 -2.249306 -0.000223 -0.010190 0.010231 0.000000 9.807815
1.127690 -2.542137 -2.542137 2.000004 -2.238387 -2.238386 -0.000144 -0.006368 0.006367 0.000000 9.808462
1.230207 -2.771264 -2.771264 1.999998 -2.232551 -2.232550 0.000012 -0.001067 0.001069 0.000000 9.807451
1.332724 -3.000000 -3.000000 2.000000 -2.230000 -2.230000 -0.000000 -0.000000 -0.000000 0.000000 9.806000
