Generated trajectory:
Group: 11 
ID: 16 
Name: forward_x_parallell_pos1_y_11 
finalTime: 1.937869  
Cost: 2.234116  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 1.000000 0.000000 0.000000 
To: 2.000000 1.000000 2.000000 1.000000 0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.088085 0.088049 0.000041 2.000009 0.999269 0.002315 0.000451 -0.010534 0.000682 0.000000 9.823392
0.176170 0.176092 0.001182 2.000141 1.000244 0.030883 0.002718 -0.060052 0.003909 0.000000 9.852137
0.264255 0.264357 0.006943 2.000460 1.004412 0.108315 0.004108 -0.117981 0.007745 0.000000 9.874131
0.352340 0.353131 0.021659 2.000755 1.011716 0.232964 0.001829 -0.167371 0.011145 0.000000 9.893866
0.440425 0.442663 0.049028 2.000655 1.021456 0.392970 -0.004687 -0.198802 0.013436 0.000000 9.910421
0.528510 0.533119 0.091416 1.999863 1.032497 0.570885 -0.013403 -0.208723 0.014255 0.000000 9.924198
0.616595 0.624561 0.149578 1.998331 1.043643 0.748042 -0.020870 -0.197062 0.013715 0.000000 9.935368
0.704680 0.716952 0.222651 1.996319 1.053917 0.906651 -0.023871 -0.166099 0.012126 0.000000 9.943694
0.792765 0.810177 0.308312 1.994307 1.062416 1.031647 -0.020760 -0.120027 0.009467 0.000000 9.948774
0.880850 0.904040 0.403062 1.992830 1.068250 1.111363 -0.011987 -0.062893 0.005940 0.000000 9.951125
0.968935 0.998273 0.502540 1.992297 1.070767 1.138099 0.000199 0.000092 0.001924 0.000000 9.951971
1.057020 1.092572 0.601922 1.992865 1.069753 1.109200 0.012383 0.063102 -0.002054 0.000000 9.950830
1.145105 1.186633 0.696389 1.994375 1.065393 1.027368 0.021067 0.120405 -0.005712 0.000000 9.946927
1.233190 1.280177 0.781577 1.996402 1.058134 0.900156 0.023906 0.166893 -0.008742 0.000000 9.940871
1.321275 1.372981 0.853987 1.998404 1.048733 0.739602 0.020616 0.197370 -0.010776 0.000000 9.933201
1.409360 1.464896 0.911351 1.999907 1.038074 0.561375 0.013033 0.208238 -0.011824 0.000000 9.922495
1.497445 1.555845 0.952896 2.000668 1.026967 0.383551 0.004380 0.197170 -0.011761 0.000000 9.908884
1.585530 1.645840 0.979484 2.000749 1.016680 0.224860 -0.001935 0.164772 -0.009840 0.000000 9.891421
1.673615 1.735020 0.993584 2.000451 1.008625 0.102560 -0.004097 0.114664 -0.006686 0.000000 9.871200
1.761700 1.823614 0.998962 2.000136 1.003410 0.027988 -0.002652 0.056650 -0.003318 0.000000 9.850197
1.849785 1.911874 0.999967 2.000008 1.000993 0.001881 -0.000429 0.008858 -0.000524 0.000000 9.822565
1.937869 2.000000 1.000000 2.000000 1.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 9.806000
