Generated trajectory:
Group: 11 
ID: 27 
Name: forward_y_parallell_neg3_x_11 
finalTime: 2.774892  
Cost: 3.179399  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 1.000000 0.000000 
To: -3.000000 4.000000 2.000000 0.000000 1.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.102774 -0.000064 0.102749 2.000025 -0.003094 1.000342 0.001026 -0.005321 -0.012031 0.000000 9.838127
0.205548 -0.001842 0.206147 2.000372 -0.041298 1.016039 0.006200 -0.029815 -0.068901 0.000000 9.892440
0.308321 -0.010889 0.312570 2.001270 -0.146570 1.059750 0.010603 -0.057847 -0.138470 0.000000 9.936613
0.411095 -0.034334 0.424928 2.002321 -0.320485 1.131123 0.008359 -0.083181 -0.202619 0.000000 9.977007
0.513869 -0.078738 0.545867 2.002653 -0.551801 1.225685 -0.003493 -0.102347 -0.251596 0.000000 10.012185
0.616643 -0.149106 0.677414 2.001320 -0.822489 1.336249 -0.023491 -0.113859 -0.281240 0.000000 10.042377
0.719416 -0.248464 0.820800 1.997701 -1.112630 1.454709 -0.047022 -0.117413 -0.290601 0.000000 10.068986
0.822190 -0.377810 0.976426 1.991745 -1.402992 1.573170 -0.067964 -0.113519 -0.281100 0.000000 10.092721
0.924964 -0.536246 1.143893 1.984008 -1.675905 1.683817 -0.080897 -0.102121 -0.254694 0.000000 10.110280
1.027738 -0.721142 1.322014 1.975516 -1.915450 1.779473 -0.082249 -0.084791 -0.213962 0.000000 10.121979
1.130512 -0.928351 1.508968 1.967542 -2.108042 1.855024 -0.070828 -0.063631 -0.161772 0.000000 10.130480
1.233285 -1.152450 1.702508 1.961358 -2.242481 1.907198 -0.047806 -0.040009 -0.100659 0.000000 10.136872
1.336059 -1.387009 1.900115 1.957995 -2.310551 1.933935 -0.016706 -0.014947 -0.034144 0.000000 10.138832
1.438833 -1.624966 2.099114 1.958018 -2.308378 1.934155 0.017124 0.010759 0.033628 0.000000 10.137000
1.541607 -1.859104 2.296757 1.961416 -2.236667 1.907596 0.048064 0.036309 0.099162 0.000000 10.132447
1.644381 -2.082466 2.490330 1.967619 -2.099644 1.855230 0.070954 0.060239 0.159780 0.000000 10.123636
1.747154 -2.288710 2.677295 1.975598 -1.905193 1.779541 0.082221 0.081327 0.211692 0.000000 10.112870
1.849928 -2.472488 2.855429 1.984083 -1.664501 1.684016 0.080805 0.098655 0.252359 0.000000 10.100230
1.952702 -2.629698 3.022928 1.991806 -1.390474 1.573587 0.067747 0.110327 0.279731 0.000000 10.082955
2.055476 -2.757687 3.178601 1.997728 -1.098750 1.455171 0.046602 0.114637 0.289666 0.000000 10.061753
2.158249 -2.855568 3.322033 2.001304 -0.807812 1.336693 0.023098 0.111244 0.279781 0.000000 10.036534
2.261023 -2.924451 3.453620 2.002606 -0.537890 1.225994 0.003330 0.100154 0.248866 0.000000 10.006532
2.363797 -2.967537 3.574588 2.002276 -0.308967 1.131472 -0.008171 0.080599 0.199050 0.000000 9.969682
2.466571 -2.989971 3.687009 2.001247 -0.138550 1.060690 -0.010411 0.055059 0.134494 0.000000 9.928631
2.569345 -2.998396 3.793566 2.000364 -0.037238 1.017706 -0.006097 0.027130 0.064882 0.000000 9.888316
2.672118 -2.999950 3.897152 2.000024 -0.002473 1.002068 -0.000997 0.004205 0.009992 0.000000 9.837131
2.774892 -3.000000 4.000000 2.000000 0.000000 1.000000 -0.000000 0.000000 0.000000 0.000000 9.806000
