Generated trajectory:
Group: 13 
ID: 3 
Name: smooth_fwdxrevy_half_left 
finalTime: 1.828697  
Cost: 1.985215  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.707100 -0.707100 0.000000 
To: 2.000000 -1.000000 2.000000 1.000000 0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.707100 -0.707100 0.000000 0.000000 0.000000 0.000000 9.806000
0.101594 0.071843 -0.071822 2.000003 0.708440 -0.707429 0.000192 0.004122 0.008109 0.000000 9.813653
0.203189 0.144731 -0.144135 2.000071 0.732750 -0.719218 0.001188 0.022174 0.045226 0.000000 9.828025
0.304783 0.222131 -0.218593 2.000214 0.797588 -0.749223 0.001310 0.038073 0.085133 0.000000 9.840625
0.406377 0.307990 -0.296756 2.000263 0.897545 -0.790544 -0.000680 0.044204 0.114569 0.000000 9.851739
0.507971 0.405224 -0.379225 2.000030 1.018728 -0.831897 -0.003975 0.037986 0.127253 0.000000 9.861332
0.609566 0.515114 -0.465372 1.999485 1.143792 -0.861007 -0.006426 0.020024 0.122511 0.000000 9.869584
0.711160 0.637200 -0.553389 1.998817 1.256251 -0.867160 -0.006169 -0.007155 0.102312 0.000000 9.877342
0.812754 0.769462 -0.640549 1.998340 1.342051 -0.843324 -0.002765 -0.039101 0.069862 0.000000 9.883999
0.914348 0.908638 -0.723621 1.998316 1.391121 -0.786456 0.002395 -0.072458 0.030191 0.000000 9.888425
1.015943 1.050740 -0.799246 1.998801 1.399588 -0.697225 0.006800 -0.102991 -0.010104 0.000000 9.891257
1.117537 1.191711 -0.864371 1.999599 1.369635 -0.581058 0.008330 -0.125729 -0.045872 0.000000 9.892253
1.219131 1.327982 -0.916734 2.000373 1.308735 -0.447979 0.006371 -0.136644 -0.071798 0.000000 9.890483
1.320726 1.456973 -0.955266 2.000816 1.228523 -0.311126 0.002140 -0.133464 -0.084424 0.000000 9.883266
1.422320 1.577452 -0.980319 2.000807 1.143864 -0.185170 -0.002082 -0.115051 -0.080711 0.000000 9.871567
1.523914 1.689779 -0.993789 2.000482 1.070481 -0.085586 -0.003761 -0.081834 -0.062192 0.000000 9.858411
1.625508 1.795782 -0.998991 2.000146 1.021172 -0.023603 -0.002470 -0.041332 -0.033151 0.000000 9.842350
1.727103 1.898328 -0.999968 2.000009 1.002311 -0.001579 -0.000398 -0.006467 -0.005298 0.000000 9.819695
1.828697 2.000000 -1.000000 2.000000 1.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 9.806000
