Generated trajectory:
Group: 14 
ID: 12 
Name: forward_smooth_straighty_half_right_2 
finalTime: 1.873050  
Cost: 2.139673  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 2.000000 0.000000 
To: 2.000000 3.000000 2.000000 1.414200 1.414200 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.104058 0.000078 0.207983 2.000045 0.003699 1.996711 0.001767 0.004630 0.014186 0.000000 9.859228
0.208117 0.002223 0.415075 2.000638 0.049015 1.979839 0.010360 0.025972 0.079510 0.000000 9.933797
0.312175 0.012930 0.619146 2.002150 0.169274 1.938226 0.017855 0.049940 0.152037 0.000000 9.978537
0.416233 0.039825 0.817658 2.004114 0.357542 1.873899 0.018488 0.068747 0.209731 0.000000 10.013704
0.520292 0.088983 1.008600 2.005704 0.593014 1.794184 0.010844 0.079141 0.243814 0.000000 10.027636
0.624350 0.163978 1.190837 2.006189 0.849763 1.708043 -0.001942 0.081461 0.252308 0.000000 10.025729
0.728408 0.265675 1.364111 2.005311 1.102069 1.622964 -0.014444 0.077749 0.236343 0.000000 10.012222
0.832467 0.392380 1.528829 2.003360 1.326948 1.544357 -0.021906 0.069535 0.199942 0.000000 9.992462
0.936525 0.540243 1.685901 2.001018 1.506106 1.476815 -0.021834 0.056828 0.148459 0.000000 9.968612
1.040583 0.703806 1.836721 1.999047 1.627272 1.424845 -0.015206 0.040154 0.088762 0.000000 9.938320
1.144642 0.876719 1.983079 1.997954 1.685710 1.391337 -0.005699 0.021849 0.028586 0.000000 9.903905
1.248700 1.052590 2.126935 1.997810 1.685602 1.376572 0.002392 0.004513 -0.023454 0.000000 9.869173
1.352758 1.225911 2.270118 1.998302 1.639376 1.377590 0.006298 -0.008286 -0.060030 0.000000 9.840962
1.456817 1.392874 2.413972 1.998984 1.567390 1.388316 0.006299 -0.014349 -0.073571 0.000000 9.821166
1.560875 1.552053 2.559144 1.999544 1.493631 1.401808 0.004304 -0.013941 -0.064416 0.000000 9.805497
1.664933 1.704400 2.705599 1.999872 1.439178 1.412101 0.002051 -0.008395 -0.036929 0.000000 9.793422
1.768992 1.852733 2.852771 1.999989 1.417179 1.415327 0.000371 -0.001385 -0.006028 0.000000 9.797174
1.873050 2.000000 3.000000 2.000000 1.414200 1.414200 -0.000000 -0.000000 -0.000000 0.000000 9.806000
