Generated trajectory:
Group: 1 
ID: 5 
Name: down_short_z 
finalTime: 3.161073  
Cost: 3.793257  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.105369 0.000000 0.000000 1.999884 0.000000 0.000000 -0.004339 0.000000 0.000000 0.000000 9.684260
0.210738 0.000000 0.000000 1.998351 0.000000 0.000000 -0.028009 0.000000 0.000000 0.000000 9.499111
0.316107 0.000000 0.000000 1.993466 0.000000 0.000000 -0.066802 0.000000 0.000000 0.000000 9.380498
0.421476 0.000000 0.000000 1.983875 0.000000 0.000000 -0.116823 0.000000 0.000000 0.000000 9.289851
0.526846 0.000000 0.000000 1.968580 0.000000 0.000000 -0.174487 0.000000 0.000000 0.000000 9.233753
0.632215 0.000000 0.000000 1.946951 0.000000 0.000000 -0.236523 0.000000 0.000000 0.000000 9.206691
0.737584 0.000000 0.000000 1.918686 0.000000 0.000000 -0.299971 0.000000 0.000000 0.000000 9.206391
0.842953 0.000000 0.000000 1.883780 0.000000 0.000000 -0.362181 0.000000 0.000000 0.000000 9.229709
0.948322 0.000000 0.000000 1.842487 0.000000 0.000000 -0.420816 0.000000 0.000000 0.000000 9.273739
1.053691 0.000000 0.000000 1.795295 0.000000 0.000000 -0.473852 0.000000 0.000000 0.000000 9.335508
1.159060 0.000000 0.000000 1.742885 0.000000 0.000000 -0.519574 0.000000 0.000000 0.000000 9.412060
1.264429 0.000000 0.000000 1.686107 0.000000 0.000000 -0.556581 0.000000 0.000000 0.000000 9.500436
1.369799 0.000000 0.000000 1.625937 0.000000 0.000000 -0.583783 0.000000 0.000000 0.000000 9.597684
1.475168 0.000000 0.000000 1.563454 0.000000 0.000000 -0.600401 0.000000 0.000000 0.000000 9.700813
1.580537 0.000000 0.000000 1.499798 0.000000 0.000000 -0.605970 0.000000 0.000000 0.000000 9.806986
1.685906 0.000000 0.000000 1.436147 0.000000 0.000000 -0.600324 0.000000 0.000000 0.000000 9.913061
1.791275 0.000000 0.000000 1.373675 0.000000 0.000000 -0.583641 0.000000 0.000000 0.000000 10.016097
1.896644 0.000000 0.000000 1.313524 0.000000 0.000000 -0.556379 0.000000 0.000000 0.000000 10.113317
2.002013 0.000000 0.000000 1.256769 0.000000 0.000000 -0.519317 0.000000 0.000000 0.000000 10.201626
2.107382 0.000000 0.000000 1.204390 0.000000 0.000000 -0.473547 0.000000 0.000000 0.000000 10.278103
2.212751 0.000000 0.000000 1.157232 0.000000 0.000000 -0.420473 0.000000 0.000000 0.000000 10.339777
2.318121 0.000000 0.000000 1.115977 0.000000 0.000000 -0.361810 0.000000 0.000000 0.000000 10.383697
2.423490 0.000000 0.000000 1.081110 0.000000 0.000000 -0.299585 0.000000 0.000000 0.000000 10.406888
2.528859 0.000000 0.000000 1.052887 0.000000 0.000000 -0.236136 0.000000 0.000000 0.000000 10.406445
2.634228 0.000000 0.000000 1.031298 0.000000 0.000000 -0.174115 0.000000 0.000000 0.000000 10.379226
2.739597 0.000000 0.000000 1.016040 0.000000 0.000000 -0.116483 0.000000 0.000000 0.000000 10.322958
2.844966 0.000000 0.000000 1.006483 0.000000 0.000000 -0.066513 0.000000 0.000000 0.000000 10.232119
2.950335 0.000000 0.000000 1.001624 0.000000 0.000000 -0.027792 0.000000 0.000000 0.000000 10.113301
3.055704 0.000000 0.000000 1.000109 0.000000 0.000000 -0.004218 0.000000 0.000000 0.000000 9.927895
3.161073 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
