Generated trajectory:
Group: 2 
ID: 7 
Name: vertical_rev_y_down_z 
finalTime: 3.156311  
Cost: 3.793498  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: 0.000000 -1.000000 1.000000 0.000000 0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.101816 0.000000 -0.000022 1.999899 0.000000 -0.001086 -0.003922 0.004301 0.000000 0.000000 9.692291
0.203633 0.000000 -0.000634 1.998557 0.000000 -0.014321 -0.025414 0.025101 0.000000 0.000000 9.518836
0.305449 0.000000 -0.003765 1.994249 0.000000 -0.051535 -0.061296 0.052686 0.000000 0.000000 9.406740
0.407266 0.000000 -0.012019 1.985675 0.000000 -0.114811 -0.108865 0.079793 0.000000 0.000000 9.320060
0.509082 0.000000 -0.027907 1.971778 0.000000 -0.200458 -0.165340 0.100546 0.000000 0.000000 9.265391
0.610899 0.000000 -0.053345 1.951813 0.000000 -0.300970 -0.227501 0.112213 0.000000 0.000000 9.237286
0.712715 0.000000 -0.089392 1.925375 0.000000 -0.407268 -0.291920 0.113383 0.000000 0.000000 9.233751
0.814532 0.000000 -0.136145 1.892411 0.000000 -0.509684 -0.355111 0.104129 0.000000 0.000000 9.252486
0.916348 0.000000 -0.192748 1.853207 0.000000 -0.599423 -0.414086 0.086323 0.000000 0.000000 9.290588
1.018165 0.000000 -0.257544 1.808309 0.000000 -0.669704 -0.466637 0.062666 0.000000 0.000000 9.345541
1.119981 0.000000 -0.328313 1.758450 0.000000 -0.716260 -0.511366 0.036177 0.000000 0.000000 9.414740
1.221798 0.000000 -0.402536 1.704470 0.000000 -0.737476 -0.547517 0.009710 0.000000 0.000000 9.495498
1.323614 0.000000 -0.477653 1.647262 0.000000 -0.734168 -0.574710 -0.014390 0.000000 0.000000 9.585438
1.425431 0.000000 -0.551295 1.587752 0.000000 -0.709068 -0.592709 -0.034488 0.000000 0.000000 9.680971
1.527247 0.000000 -0.621442 1.526883 0.000000 -0.666287 -0.601384 -0.049615 0.000000 0.000000 9.780379
1.629063 0.000000 -0.686532 1.465619 0.000000 -0.610504 -0.600394 -0.059763 0.000000 0.000000 9.882206
1.730880 0.000000 -0.745479 1.404956 0.000000 -0.546390 -0.589588 -0.065216 0.000000 0.000000 9.981744
1.832696 0.000000 -0.797659 1.345887 0.000000 -0.478242 -0.569126 -0.066744 0.000000 0.000000 10.076662
1.934513 0.000000 -0.842849 1.289382 0.000000 -0.409617 -0.539313 -0.065233 0.000000 0.000000 10.165118
2.036329 0.000000 -0.881147 1.236361 0.000000 -0.343234 -0.500798 -0.061614 0.000000 0.000000 10.244098
2.138146 0.000000 -0.912883 1.187665 0.000000 -0.280961 -0.454566 -0.056705 0.000000 0.000000 10.311085
2.239962 0.000000 -0.938539 1.144014 0.000000 -0.223940 -0.401934 -0.051134 0.000000 0.000000 10.363422
2.341779 0.000000 -0.958684 1.105981 0.000000 -0.172775 -0.344528 -0.045306 0.000000 0.000000 10.398501
2.443595 0.000000 -0.973930 1.073955 0.000000 -0.127752 -0.284261 -0.039398 0.000000 0.000000 10.413693
2.545412 0.000000 -0.984913 1.048119 0.000000 -0.089053 -0.223323 -0.033393 0.000000 0.000000 10.406422
2.647228 0.000000 -0.992287 1.028419 0.000000 -0.056925 -0.164167 -0.027144 0.000000 0.000000 10.373885
2.749045 0.000000 -0.996741 1.014536 0.000000 -0.031750 -0.109518 -0.020486 0.000000 0.000000 10.314126
2.850861 0.000000 -0.999004 1.005864 0.000000 -0.013975 -0.062369 -0.013423 0.000000 0.000000 10.222069
2.952678 0.000000 -0.999842 1.001467 0.000000 -0.003715 -0.025994 -0.006427 0.000000 0.000000 10.104264
3.054494 0.000000 -0.999995 1.000099 0.000000 -0.000243 -0.003939 -0.000987 0.000000 0.000000 9.923865
3.156311 0.000000 -1.000000 1.000000 0.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 9.806000
