Generated trajectory:
Group: 3 
ID: 10 
Name: forward_short_x_10 
finalTime: 1.514581  
Cost: 1.658519  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 1.000000 0.000000 0.000000 
To: 1.000000 0.000000 2.000000 0.000000 0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.100972 0.100941 0.000000 1.999994 0.999969 0.000000 -0.000162 0.000000 0.003880 0.000000 9.803026
0.201944 0.202295 0.000000 1.999952 1.010228 0.000000 -0.000701 0.000000 0.019206 0.000000 9.802912
0.302916 0.305366 0.000000 1.999862 1.032218 0.000000 -0.000976 0.000000 0.024521 0.000000 9.810958
0.403888 0.410634 0.000000 1.999793 1.050823 0.000000 -0.000137 0.000000 0.012068 0.000000 9.823588
0.504860 0.516853 0.000000 1.999891 1.048125 0.000000 0.002337 0.000000 -0.017943 0.000000 9.839843
0.605832 0.621061 0.000000 2.000299 1.008954 0.000000 0.005775 0.000000 -0.060157 0.000000 9.857387
0.706804 0.719088 0.000000 2.001024 0.925002 0.000000 0.008235 0.000000 -0.106551 0.000000 9.874918
0.807777 0.806356 0.000000 2.001861 0.796659 0.000000 0.007724 0.000000 -0.148049 0.000000 9.891024
0.908749 0.878781 0.000000 2.002458 0.633301 0.000000 0.003550 0.000000 -0.175948 0.000000 9.903232
1.009721 0.933644 0.000000 2.002504 0.452206 0.000000 -0.002746 0.000000 -0.183103 0.000000 9.909547
1.110693 0.970274 0.000000 2.001943 0.276318 0.000000 -0.007881 0.000000 -0.165227 0.000000 9.908131
1.211665 0.990474 0.000000 2.001058 0.130850 0.000000 -0.008801 0.000000 -0.122831 0.000000 9.896463
1.312637 0.998436 0.000000 2.000317 0.036688 0.000000 -0.005326 0.000000 -0.064018 0.000000 9.875305
1.413609 0.999951 0.000000 2.000021 0.002471 0.000000 -0.000891 0.000000 -0.010160 0.000000 9.834492
1.514581 1.000000 0.000000 2.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 9.806000
