Generated trajectory:
Group: 3 
ID: 14 
Name: up_short_z_10 
finalTime: 1.933410  
Cost: 2.400479  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 1.000000 
To: 0.000000 0.000000 3.000000 0.000000 0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 9.806000
0.107412 0.000000 0.000000 2.107319 0.000000 0.000000 0.996620 0.000000 0.000000 0.000000 9.713400
0.214823 0.000000 0.000000 2.213505 0.000000 0.000000 0.977802 0.000000 0.000000 0.000000 9.560000
0.322235 0.000000 0.000000 2.316875 0.000000 0.000000 0.944758 0.000000 0.000000 0.000000 9.437699
0.429647 0.000000 0.000000 2.415997 0.000000 0.000000 0.898845 0.000000 0.000000 0.000000 9.323541
0.537058 0.000000 0.000000 2.509561 0.000000 0.000000 0.841557 0.000000 0.000000 0.000000 9.225347
0.644470 0.000000 0.000000 2.596434 0.000000 0.000000 0.774534 0.000000 0.000000 0.000000 9.142689
0.751882 0.000000 0.000000 2.675664 0.000000 0.000000 0.699554 0.000000 0.000000 0.000000 9.077352
0.859293 0.000000 0.000000 2.746498 0.000000 0.000000 0.618538 0.000000 0.000000 0.000000 9.030528
0.966705 0.000000 0.000000 2.808398 0.000000 0.000000 0.533547 0.000000 0.000000 0.000000 9.003567
1.074117 0.000000 0.000000 2.861053 0.000000 0.000000 0.446785 0.000000 0.000000 0.000000 8.997772
1.181528 0.000000 0.000000 2.904398 0.000000 0.000000 0.360597 0.000000 0.000000 0.000000 9.014476
1.288940 0.000000 0.000000 2.938627 0.000000 0.000000 0.277469 0.000000 0.000000 0.000000 9.054944
1.396351 0.000000 0.000000 2.964208 0.000000 0.000000 0.200029 0.000000 0.000000 0.000000 9.120679
1.503763 0.000000 0.000000 2.981901 0.000000 0.000000 0.131045 0.000000 0.000000 0.000000 9.212308
1.611175 0.000000 0.000000 2.992765 0.000000 0.000000 0.073427 0.000000 0.000000 0.000000 9.333718
1.718586 0.000000 0.000000 2.998195 0.000000 0.000000 0.030228 0.000000 0.000000 0.000000 9.476629
1.825998 0.000000 0.000000 2.999874 0.000000 0.000000 0.004641 0.000000 0.000000 0.000000 9.678173
1.933410 0.000000 0.000000 3.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 9.806000
