Generated trajectory:
Group: 3 
ID: 15 
Name: down_short_z_10 
finalTime: 1.933707  
Cost: 2.402610  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 -1.000000 
To: 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 -1.000000 0.000000 0.000000 0.000000 9.806000
0.107428 0.000000 0.000000 1.892658 0.000000 0.000000 -0.996737 0.000000 0.000000 0.000000 9.898925
0.214856 0.000000 0.000000 1.786440 0.000000 0.000000 -0.977980 0.000000 0.000000 0.000000 10.052827
0.322284 0.000000 0.000000 1.683033 0.000000 0.000000 -0.944953 0.000000 0.000000 0.000000 10.175456
0.429713 0.000000 0.000000 1.583876 0.000000 0.000000 -0.899023 0.000000 0.000000 0.000000 10.289874
0.537141 0.000000 0.000000 1.490280 0.000000 0.000000 -0.841693 0.000000 0.000000 0.000000 10.388257
0.644569 0.000000 0.000000 1.403382 0.000000 0.000000 -0.774609 0.000000 0.000000 0.000000 10.471023
0.751997 0.000000 0.000000 1.324136 0.000000 0.000000 -0.699559 0.000000 0.000000 0.000000 10.536435
0.859425 0.000000 0.000000 1.253294 0.000000 0.000000 -0.618464 0.000000 0.000000 0.000000 10.583299
0.966853 0.000000 0.000000 1.191397 0.000000 0.000000 -0.533395 0.000000 0.000000 0.000000 10.610207
1.074282 0.000000 0.000000 1.138754 0.000000 0.000000 -0.446564 0.000000 0.000000 0.000000 10.615895
1.181710 0.000000 0.000000 1.095429 0.000000 0.000000 -0.360320 0.000000 0.000000 0.000000 10.599044
1.289138 0.000000 0.000000 1.061227 0.000000 0.000000 -0.277154 0.000000 0.000000 0.000000 10.558395
1.396566 0.000000 0.000000 1.035677 0.000000 0.000000 -0.199698 0.000000 0.000000 0.000000 10.492446
1.503994 0.000000 0.000000 1.018017 0.000000 0.000000 -0.130724 0.000000 0.000000 0.000000 10.400581
1.611422 0.000000 0.000000 1.007183 0.000000 0.000000 -0.073144 0.000000 0.000000 0.000000 10.278929
1.718851 0.000000 0.000000 1.001780 0.000000 0.000000 -0.030011 0.000000 0.000000 0.000000 10.135779
1.826279 0.000000 0.000000 1.000120 0.000000 0.000000 -0.004518 0.000000 0.000000 0.000000 9.933974
1.933707 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
