Generated trajectory:
Group: 3 
ID: 19 
Name: horizontal_diagonal_forth_quadrant_10 
finalTime: 1.765283  
Cost: 1.958995  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.707100 -0.707100 0.000000 
To: 1.000000 -1.000000 2.000000 -0.000000 0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.707100 -0.707100 0.000000 0.000000 0.000000 0.000000 9.806000
0.098071 0.069337 -0.069336 1.999994 0.707642 -0.707622 -0.000196 0.004963 0.005048 0.000000 9.801915
0.196143 0.139249 -0.139237 1.999937 0.721764 -0.721499 -0.001093 0.026933 0.027341 0.000000 9.800754
0.294214 0.211635 -0.211580 1.999754 0.757626 -0.757026 -0.002764 0.047006 0.047316 0.000000 9.807480
0.392285 0.288316 -0.288191 1.999379 0.807544 -0.806725 -0.004875 0.055620 0.055958 0.000000 9.818089
0.490356 0.370074 -0.369855 1.998836 0.858810 -0.857668 -0.005847 0.049378 0.049845 0.000000 9.832869
0.588428 0.456343 -0.455993 1.998323 0.897234 -0.895734 -0.004050 0.029184 0.029483 0.000000 9.850593
0.686499 0.545226 -0.544720 1.998148 0.910269 -0.908659 0.000949 -0.002100 -0.002188 0.000000 9.870350
0.784570 0.633761 -0.633109 1.998565 0.889085 -0.887788 0.007604 -0.039706 -0.040291 0.000000 9.889028
0.882642 0.718379 -0.717633 1.999598 0.830331 -0.829762 0.012989 -0.077824 -0.078984 0.000000 9.906017
0.980713 0.795460 -0.794704 2.000985 0.736116 -0.736518 0.014519 -0.111565 -0.113284 0.000000 9.922289
1.078784 0.861823 -0.861151 2.002283 0.613291 -0.614511 0.011119 -0.136501 -0.138426 0.000000 9.934217
1.176855 0.915168 -0.914637 2.003031 0.472696 -0.474296 0.003668 -0.148714 -0.150573 0.000000 9.940369
1.274927 0.954409 -0.954039 2.002972 0.328176 -0.329813 -0.004689 -0.145200 -0.146684 0.000000 9.940173
1.372998 0.979924 -0.979709 2.002206 0.195499 -0.196985 -0.010180 -0.124980 -0.125709 0.000000 9.931212
1.471069 0.993663 -0.993576 2.001155 0.090484 -0.091550 -0.010310 -0.089801 -0.089544 0.000000 9.912378
1.569141 0.998970 -0.998954 2.000336 0.024933 -0.025321 -0.005879 -0.045693 -0.045081 0.000000 9.884615
1.667212 0.999968 -0.999967 2.000022 0.001673 -0.001696 -0.000966 -0.007180 -0.007076 0.000000 9.837550
1.765283 1.000000 -1.000000 2.000000 -0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 9.806000
