Generated trajectory:
Group: 4 
ID: 11 
Name: vertical_fwd_y_down_z_01-1_01-1 
finalTime: 1.393786  
Cost: 1.403641  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.707100 -0.707100 
To: 0.000000 1.000000 1.000000 0.000000 0.707100 -0.707100 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.707100 -0.707100 0.000000 0.000000 0.000000 9.806000
0.107214 0.000000 0.075775 1.924166 0.000000 0.706547 -0.707869 -0.000763 0.000000 0.000000 9.786283
0.214429 0.000000 0.151584 1.848096 0.000000 0.708211 -0.711596 -0.004082 0.000000 0.000000 9.762748
0.321643 0.000000 0.227763 1.771539 0.000000 0.713330 -0.716581 -0.006859 0.000000 0.000000 9.759112
0.428857 0.000000 0.304608 1.694442 0.000000 0.720245 -0.721495 -0.007423 0.000000 0.000000 9.764697
0.536071 0.000000 0.382182 1.616869 0.000000 0.726552 -0.725316 -0.005806 0.000000 0.000000 9.778742
0.643286 0.000000 0.460313 1.538978 0.000000 0.730416 -0.727358 -0.002895 0.000000 0.000000 9.796841
0.750500 0.000000 0.538680 1.460975 0.000000 0.730857 -0.727379 0.000593 0.000000 0.000000 9.816100
0.857714 0.000000 0.616900 1.383081 0.000000 0.727719 -0.725330 0.003704 0.000000 0.000000 9.835227
0.964928 0.000000 0.694632 1.305511 0.000000 0.722040 -0.721424 0.005290 0.000000 0.000000 9.849647
1.072143 0.000000 0.771700 1.228426 0.000000 0.715636 -0.716458 0.005057 0.000000 0.000000 9.854772
1.179357 0.000000 0.848130 1.151883 0.000000 0.710478 -0.711451 0.003003 0.000000 0.000000 9.850600
1.286571 0.000000 0.924145 1.075827 0.000000 0.707985 -0.707758 0.000491 0.000000 0.000000 9.826199
1.393786 0.000000 1.000000 1.000000 0.000000 0.707100 -0.707100 -0.000000 0.000000 0.000000 9.806000
