Generated trajectory:
Group: 4 
ID: 3 
Name: vertical_fwd_x_down_z_000_10-1 
finalTime: 2.260279  
Cost: 2.544419  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: 1.000000 0.000000 1.000000 0.707100 0.000000 -0.707100 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.132958 0.000036 0.000000 1.999777 0.001323 0.000000 -0.006619 0.000000 0.004006 0.000000 9.658480
0.265915 0.000995 0.000000 1.996831 0.017089 0.000000 -0.042533 0.000000 0.022860 0.000000 9.442667
0.398873 0.005818 0.000000 1.987537 0.060320 0.000000 -0.100153 0.000000 0.046668 0.000000 9.320281
0.531830 0.018278 0.000000 1.969523 0.131380 0.000000 -0.172873 0.000000 0.067972 0.000000 9.239423
0.664788 0.041703 0.000000 1.941176 0.223705 0.000000 -0.254486 0.000000 0.081652 0.000000 9.205423
0.797746 0.078230 0.000000 1.901724 0.326525 0.000000 -0.338974 0.000000 0.085607 0.000000 9.208188
0.930703 0.128498 0.000000 1.851154 0.428589 0.000000 -0.420886 0.000000 0.080280 0.000000 9.242195
1.063661 0.191674 0.000000 1.790122 0.519031 0.000000 -0.495718 0.000000 0.066953 0.000000 9.299154
1.196618 0.265745 0.000000 1.719775 0.592199 0.000000 -0.560612 0.000000 0.052042 0.000000 9.374264
1.329576 0.348306 0.000000 1.641577 0.646421 0.000000 -0.613612 0.000000 0.035977 0.000000 9.460862
1.462534 0.436795 0.000000 1.557159 0.681721 0.000000 -0.654173 0.000000 0.021805 0.000000 9.550353
1.595491 0.528887 0.000000 1.468163 0.701285 0.000000 -0.682569 0.000000 0.010942 0.000000 9.637196
1.728449 0.622772 0.000000 1.376147 0.709469 0.000000 -0.699851 0.000000 0.003876 0.000000 9.714459
1.861406 0.717247 0.000000 1.282476 0.710896 0.000000 -0.707853 0.000000 0.000309 0.000000 9.774929
1.994364 0.811688 0.000000 1.188212 0.709529 0.000000 -0.709229 0.000000 -0.000596 0.000000 9.813897
2.127322 0.905922 0.000000 1.094025 0.708082 0.000000 -0.707505 0.000000 -0.000129 0.000000 9.816934
2.260279 1.000000 0.000000 1.000000 0.707100 0.000000 -0.707100 0.000000 -0.000000 0.000000 9.806000
