Generated trajectory:
Group: 4 
ID: 47 
Name: vertical_rev_x_rev_y_down_z_-1-1-1_-1-1-1 
finalTime: 1.660408  
Cost: 1.692618  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -0.577400 -0.577400 -0.577400 
To: -1.000000 -1.000000 1.000000 -0.577400 -0.577400 -0.577400 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -0.577400 -0.577400 -0.577400 0.000000 0.000000 0.000000 9.806000
0.097671 -0.056372 -0.056372 1.943577 -0.577069 -0.577073 -0.578464 0.000974 -0.000956 0.000000 9.775112
0.195342 -0.112811 -0.112813 1.886846 -0.579317 -0.579364 -0.583904 0.005372 -0.005307 0.000000 9.733703
0.293013 -0.169685 -0.169695 1.829436 -0.586004 -0.586103 -0.591946 0.009824 -0.009791 0.000000 9.717646
0.390684 -0.227399 -0.227419 1.771178 -0.596262 -0.596357 -0.601063 0.012658 -0.012703 0.000000 9.713851
0.488355 -0.286215 -0.286241 1.712031 -0.608180 -0.608201 -0.609947 0.013136 -0.013242 0.000000 9.722506
0.586026 -0.346182 -0.346205 1.652073 -0.619483 -0.619394 -0.617499 0.011334 -0.011454 0.000000 9.740461
0.683698 -0.407140 -0.407149 1.591478 -0.628176 -0.627990 -0.622903 0.007770 -0.007844 0.000000 9.764651
0.781369 -0.468761 -0.468750 1.530479 -0.632883 -0.632665 -0.625690 0.003182 -0.003175 0.000000 9.792698
0.879040 -0.530614 -0.530583 1.469349 -0.632857 -0.632682 -0.625582 -0.001835 0.001913 0.000000 9.822880
0.976711 -0.592232 -0.592188 1.408371 -0.628175 -0.628098 -0.622591 -0.006274 0.006392 0.000000 9.851188
1.074382 -0.653199 -0.653153 1.347812 -0.619697 -0.619735 -0.617099 -0.009582 0.009697 0.000000 9.875071
1.172053 -0.713207 -0.713170 1.287892 -0.608830 -0.608959 -0.609595 -0.011178 0.011247 0.000000 9.892629
1.269724 -0.772112 -0.772090 1.228774 -0.597450 -0.597609 -0.600825 -0.010728 0.010719 0.000000 9.900907
1.367395 -0.829964 -0.829956 1.170535 -0.587604 -0.587717 -0.591792 -0.008242 0.008165 0.000000 9.896598
1.465066 -0.887000 -0.886999 1.113138 -0.580932 -0.580968 -0.583780 -0.004382 0.004316 0.000000 9.879835
1.562737 -0.943574 -0.943574 1.056417 -0.578127 -0.578129 -0.578366 -0.000699 0.000690 0.000000 9.837481
1.660408 -1.000000 -1.000000 1.000000 -0.577400 -0.577400 -0.577400 -0.000000 0.000000 0.000000 9.806000
