Generated trajectory:
Group: 5 
ID: 14 
Name: smooth_revxfwdy_upz 
finalTime: 1.987189  
Cost: 2.513641  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -0.707100 0.707100 0.000000 
To: -1.000000 1.000000 3.000000 0.000000 0.000000 1.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -0.707100 0.707100 0.000000 0.000000 0.000000 0.000000 9.806000
0.099359 -0.070233 0.070233 2.000076 -0.706930 0.706936 0.003118 -0.002156 -0.002134 0.000000 9.901950
0.198719 -0.140678 0.140681 2.001143 -0.712628 0.712690 0.020971 -0.011346 -0.011245 0.000000 10.060487
0.298078 -0.212146 0.212163 2.004675 -0.727175 0.727392 0.052135 -0.018551 -0.018381 0.000000 10.184368
0.397438 -0.285355 0.285398 2.011894 -0.746912 0.747206 0.095032 -0.020910 -0.020976 0.000000 10.297498
0.496797 -0.360570 0.360634 2.023903 -0.766558 0.766633 0.148310 -0.017378 -0.017728 0.000000 10.393710
0.596157 -0.437479 0.437530 2.041665 -0.780014 0.779651 0.210590 -0.008389 -0.008855 0.000000 10.474387
0.695516 -0.515184 0.515175 2.065997 -0.781750 0.780917 0.280271 0.005109 0.004695 0.000000 10.539254
0.794875 -0.592294 0.592183 2.097541 -0.767455 0.766263 0.355413 0.021707 0.021451 0.000000 10.587665
0.894235 -0.667074 0.666834 2.136728 -0.734547 0.733194 0.433691 0.039772 0.039784 0.000000 10.618778
0.993594 -0.737612 0.737244 2.183747 -0.682050 0.680889 0.512670 0.057870 0.058357 0.000000 10.633054
1.092954 -0.801987 0.801530 2.238552 -0.610804 0.610230 0.590067 0.074380 0.075277 0.000000 10.629890
1.192313 -0.858461 0.857985 2.300885 -0.523632 0.523835 0.663873 0.087869 0.088956 0.000000 10.608548
1.291673 -0.905657 0.905238 2.370307 -0.424906 0.425797 0.732585 0.096941 0.097937 0.000000 10.569026
1.391032 -0.942717 0.942408 2.446265 -0.320782 0.322043 0.795332 0.099553 0.100209 0.000000 10.511383
1.490391 -0.969487 0.969303 2.528146 -0.219215 0.220413 0.851788 0.094094 0.094250 0.000000 10.434326
1.589751 -0.986658 0.986575 2.615311 -0.129091 0.129893 0.901597 0.079643 0.079443 0.000000 10.338042
1.689110 -0.995814 0.995789 2.707065 -0.059247 0.059622 0.943921 0.056645 0.056378 0.000000 10.220551
1.788470 -0.999324 0.999321 2.802566 -0.016206 0.016299 0.976640 0.028626 0.028447 0.000000 10.089332
1.887829 -0.999979 0.999979 2.900727 -0.001076 0.001078 0.996467 0.004484 0.004468 0.000000 9.914542
1.987189 -1.000000 1.000000 3.000000 0.000000 0.000000 1.000000 -0.000000 -0.000000 0.000000 9.806000
