Generated trajectory:
Group: 5 
ID: 15 
Name: smooth_revxfwdy_downz 
finalTime: 1.977757  
Cost: 2.414597  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -0.707100 0.707100 0.000000 
To: -1.000000 1.000000 1.000000 -0.000000 0.000000 -1.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -0.707100 0.707100 0.000000 0.000000 0.000000 0.000000 9.806000
0.098888 -0.069902 0.069902 1.999912 -0.707042 0.707056 -0.003481 -0.002672 -0.002615 0.000000 9.702215
0.197776 -0.140069 0.140076 1.998752 -0.713968 0.714120 -0.022749 -0.014585 -0.014374 0.000000 9.536874
0.296664 -0.211495 0.211527 1.994968 -0.732356 0.732681 -0.055829 -0.025841 -0.025737 0.000000 9.416264
0.395551 -0.285172 0.285237 1.987320 -0.758557 0.758865 -0.100639 -0.031085 -0.031257 0.000000 9.310756
0.494439 -0.361553 0.361637 1.974757 -0.785731 0.785781 -0.154793 -0.027798 -0.028201 0.000000 9.227501
0.593327 -0.440332 0.440401 1.956478 -0.805710 0.805321 -0.215878 -0.015504 -0.016100 0.000000 9.162882
0.692215 -0.520422 0.520422 1.931895 -0.811158 0.810116 -0.282027 0.004157 0.003403 0.000000 9.117121
0.791103 -0.600087 0.599958 1.900576 -0.796298 0.794844 -0.351965 0.028585 0.028515 0.000000 9.090027
0.889991 -0.677128 0.676862 1.862180 -0.757811 0.756589 -0.425109 0.055010 0.055629 0.000000 9.079330
0.988879 -0.749176 0.748817 1.816404 -0.695513 0.694893 -0.501133 0.080439 0.081437 0.000000 9.084957
1.087766 -0.813987 0.813598 1.763001 -0.612149 0.612128 -0.579176 0.101468 0.102559 0.000000 9.106239
1.186654 -0.869718 0.869348 1.701842 -0.512891 0.513253 -0.657636 0.115562 0.116640 0.000000 9.141689
1.285542 -0.915130 0.914806 1.633007 -0.404761 0.405303 -0.733921 0.120602 0.121633 0.000000 9.191056
1.384430 -0.949747 0.949484 1.556868 -0.295964 0.296653 -0.804823 0.115873 0.116851 0.000000 9.252348
1.483318 -0.973931 0.973744 1.474115 -0.195226 0.196060 -0.867176 0.101640 0.102252 0.000000 9.325799
1.582206 -0.988898 0.988792 1.385732 -0.110792 0.111564 -0.918352 0.079626 0.079670 0.000000 9.410462
1.681094 -0.996596 0.996554 1.292899 -0.049072 0.049581 -0.957062 0.052423 0.052163 0.000000 9.505872
1.779981 -0.999456 0.999449 1.196864 -0.013095 0.013276 -0.983244 0.024697 0.024389 0.000000 9.606567
1.878869 -0.999983 0.999983 1.098824 -0.000879 0.000890 -0.997472 0.003765 0.003717 0.000000 9.731165
1.977757 -1.000000 1.000000 1.000000 -0.000000 0.000000 -1.000000 -0.000000 -0.000000 0.000000 9.806000
