Generated trajectory:
Group: 5 
ID: 20 
Name: forward_smooth_straighty_right 
finalTime: 1.592358  
Cost: 1.746875  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 1.000000 0.000000 
To: 1.000000 1.000000 2.000000 1.000000 0.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.099522 0.000045 0.099481 2.000012 0.002236 0.999408 0.000540 -0.001618 0.008994 0.000000 9.824261
0.199045 0.001284 0.199071 2.000193 0.029572 1.003008 0.003345 -0.007798 0.050472 0.000000 9.851660
0.298567 0.007455 0.299271 2.000668 0.101959 1.010719 0.005981 -0.008340 0.096296 0.000000 9.871309
0.398090 0.022939 0.400095 2.001323 0.215141 1.013731 0.006830 0.002006 0.132536 0.000000 9.891827
0.497612 0.051221 0.500536 2.001967 0.356597 1.001309 0.005872 0.022814 0.153316 0.000000 9.909255
0.597134 0.094307 0.598566 2.002459 0.509790 0.963823 0.003938 0.052328 0.156737 0.000000 9.919972
0.696657 0.152531 0.691325 2.002743 0.658241 0.894717 0.001784 0.086108 0.144654 0.000000 9.926041
0.796179 0.224710 0.775553 2.002824 0.788239 0.792591 -0.000124 0.118575 0.120490 0.000000 9.929606
0.895701 0.308490 0.848124 2.002721 0.890232 0.661643 -0.001974 0.144144 0.089183 0.000000 9.928991
0.995224 0.400845 0.906603 2.002422 0.960421 0.511388 -0.004076 0.157618 0.056790 0.000000 9.923281
1.094746 0.498641 0.949737 2.001912 1.000124 0.355914 -0.006060 0.154903 0.027604 0.000000 9.913741
1.194269 0.599078 0.977835 2.001259 1.014739 0.212217 -0.006789 0.133867 0.006035 0.000000 9.896574
1.293791 0.700088 0.992978 2.000621 1.013348 0.098456 -0.005701 0.095459 -0.005076 0.000000 9.871825
1.393313 0.800582 0.998854 2.000175 1.005983 0.027317 -0.003081 0.048660 -0.006324 0.000000 9.849003
1.492836 0.900422 0.999964 2.000011 1.001287 0.001833 -0.000484 0.007659 -0.001214 0.000000 9.822499
1.592358 1.000000 1.000000 2.000000 1.000000 0.000000 0.000000 -0.000000 -0.000000 0.000000 9.806000
