Generated trajectory:
Group: 5 
ID: 26 
Name: rev_smooth_straightx_upz 
finalTime: 1.945080  
Cost: 2.444440  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -1.000000 0.000000 0.000000 
To: -1.000000 0.000000 3.000000 -0.000000 0.000000 1.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.108060 -0.107987 0.000000 2.000120 -0.998234 0.000000 0.004504 0.000000 0.002520 0.000000 9.932867
0.216120 -0.215454 0.000000 2.001785 -0.988601 0.000000 0.029922 0.000000 0.014349 0.000000 10.133968
0.324180 -0.321087 0.000000 2.007204 -0.963747 0.000000 0.072900 0.000000 0.028829 0.000000 10.278199
0.432240 -0.423147 0.000000 2.018058 -0.922523 0.000000 0.130140 0.000000 0.042860 0.000000 10.402847
0.540300 -0.519916 0.000000 2.035733 -0.866164 0.000000 0.198602 0.000000 0.054913 0.000000 10.498041
0.648360 -0.609873 0.000000 2.061272 -0.796774 0.000000 0.275211 0.000000 0.065143 0.000000 10.567427
0.756420 -0.691728 0.000000 2.095411 -0.716657 0.000000 0.357339 0.000000 0.073169 0.000000 10.612599
0.864480 -0.764462 0.000000 2.138607 -0.628341 0.000000 0.442435 0.000000 0.079249 0.000000 10.633666
0.972540 -0.827314 0.000000 2.191050 -0.534191 0.000000 0.528114 0.000000 0.083245 0.000000 10.632224
1.080600 -0.879815 0.000000 2.252686 -0.437345 0.000000 0.612215 0.000000 0.084372 0.000000 10.608780
1.188660 -0.921847 0.000000 2.323229 -0.340898 0.000000 0.692636 0.000000 0.083208 0.000000 10.564255
1.296720 -0.953627 0.000000 2.402177 -0.248301 0.000000 0.767475 0.000000 0.078419 0.000000 10.500299
1.404780 -0.975817 0.000000 2.488833 -0.164247 0.000000 0.835016 0.000000 0.069236 0.000000 10.417532
1.512840 -0.989621 0.000000 2.582316 -0.093987 0.000000 0.893558 0.000000 0.055260 0.000000 10.317310
1.620900 -0.996795 0.000000 2.681561 -0.042139 0.000000 0.941303 0.000000 0.037691 0.000000 10.198807
1.728960 -0.999489 0.000000 2.785288 -0.011315 0.000000 0.976282 0.000000 0.018438 0.000000 10.070149
1.837020 -0.999984 0.000000 2.892034 -0.000744 0.000000 0.996466 0.000000 0.002847 0.000000 9.905921
1.945080 -1.000000 0.000000 3.000000 -0.000000 0.000000 1.000000 0.000000 -0.000000 0.000000 9.806000
