Generated trajectory:
Group: 5 
ID: 5 
Name: smooth_revxrevy_right 
finalTime: 1.313088  
Cost: 1.467367  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -0.707100 -0.707100 0.000000 
To: -1.000000 0.000000 2.000000 -0.707100 0.707100 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -0.707100 -0.707100 0.000000 0.000000 0.000000 0.000000 9.806000
0.101007 -0.071406 -0.071341 2.000019 -0.707387 -0.704177 0.000826 -0.008738 -0.003964 0.000000 9.832518
0.202014 -0.143276 -0.141408 2.000299 -0.718557 -0.676218 0.005168 -0.050111 -0.020829 0.000000 9.872974
0.303020 -0.217115 -0.206296 2.001074 -0.745596 -0.600055 0.009939 -0.101342 -0.033401 0.000000 9.901528
0.404027 -0.294149 -0.260932 2.002224 -0.780125 -0.473819 0.012244 -0.149057 -0.035945 0.000000 9.927267
0.505034 -0.374615 -0.300575 2.003407 -0.811820 -0.305025 0.010406 -0.185942 -0.028040 0.000000 9.939869
0.606041 -0.457716 -0.321568 2.004173 -0.830805 -0.107156 0.004175 -0.207294 -0.011096 0.000000 9.943866
0.707048 -0.541806 -0.321840 2.004191 -0.830888 0.101942 -0.003812 -0.208527 0.009178 0.000000 9.946334
0.808054 -0.624929 -0.301288 2.003461 -0.812238 0.301793 -0.010110 -0.189365 0.025898 0.000000 9.943414
0.909061 -0.705462 -0.261811 2.002290 -0.781018 0.473906 -0.012324 -0.153494 0.034024 0.000000 9.929245
1.010068 -0.782594 -0.207011 2.001116 -0.746558 0.602950 -0.010268 -0.104460 0.031980 0.000000 9.903711
1.111075 -0.856533 -0.141773 2.000312 -0.719657 0.679830 -0.005386 -0.050831 0.018986 0.000000 9.875136
1.212081 -0.928527 -0.071420 2.000020 -0.708577 0.705909 -0.000857 -0.007842 0.003132 0.000000 9.833398
1.313088 -1.000000 0.000000 2.000000 -0.707100 0.707100 -0.000000 -0.000000 0.000000 0.000000 9.806000
