Generated trajectory:
Group: 7 
ID: 6 
Name: smooth_up_revxfwdy 
finalTime: 1.976923  
Cost: 2.411814  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 1.000000 
To: -1.000000 1.000000 3.000000 -0.707100 0.707100 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 9.806000
0.098846 -0.000022 0.000022 2.098782 -0.001091 0.001086 0.997482 -0.004421 -0.004446 0.000000 9.731467
0.197692 -0.000621 0.000617 2.196784 -0.014470 0.014353 0.983285 -0.025599 -0.025856 0.000000 9.607304
0.296538 -0.003682 0.003649 2.292783 -0.051736 0.051212 0.957122 -0.052838 -0.053538 0.000000 9.506812
0.395385 -0.011693 0.011573 2.385584 -0.114452 0.113188 0.918436 -0.079582 -0.080764 0.000000 9.411446
0.494231 -0.027042 0.026755 2.473941 -0.199336 0.197211 0.867335 -0.101405 -0.102800 0.000000 9.327215
0.593077 -0.051613 0.051083 2.556683 -0.299747 0.297041 0.805161 -0.115592 -0.116734 0.000000 9.253553
0.691923 -0.086544 0.085740 2.632832 -0.407545 0.404816 0.734408 -0.120600 -0.121175 0.000000 9.191428
0.790769 -0.132141 0.131091 2.701692 -0.514125 0.511968 0.658239 -0.115942 -0.115782 0.000000 9.142033
0.889615 -0.187875 0.186662 2.762889 -0.611425 0.610363 0.579856 -0.102667 -0.101709 0.000000 9.106298
0.988461 -0.252489 0.251245 2.816335 -0.692828 0.693324 0.501753 -0.082619 -0.080994 0.000000 9.084891
1.087308 -0.324162 0.323049 2.862146 -0.753683 0.755777 0.425591 -0.057674 -0.056241 0.000000 9.078672
1.186154 -0.400732 0.399879 2.900563 -0.791734 0.794750 0.352216 -0.030884 -0.030426 0.000000 9.088640
1.285000 -0.479937 0.479386 2.931885 -0.807249 0.810181 0.282127 -0.005815 -0.006398 0.000000 9.116296
1.383846 -0.559666 0.559370 2.956466 -0.803048 0.805205 0.215951 0.013903 0.012883 0.000000 9.161761
1.482692 -0.638219 0.638089 2.974743 -0.784503 0.785739 0.154842 0.025773 0.024847 0.000000 9.225918
1.581538 -0.714519 0.714474 2.987306 -0.758754 0.759293 0.100712 0.028833 0.028277 0.000000 9.309396
1.680384 -0.788238 0.788226 2.994959 -0.733552 0.733733 0.055916 0.023657 0.023429 0.000000 9.414985
1.779231 -0.859776 0.859775 2.998749 -0.715557 0.715596 0.022808 0.012902 0.012814 0.000000 9.535870
1.878077 -0.930062 0.930062 2.999912 -0.708286 0.708287 0.003493 0.002070 0.002064 0.000000 9.701802
1.976923 -1.000000 1.000000 3.000000 -0.707100 0.707100 -0.000000 0.000000 -0.000000 0.000000 9.806000
