Generated trajectory:
Group: 8 
ID: 4 
Name: up_short_z_05 
finalTime: 2.523272  
Cost: 3.027940  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: 0.000000 0.000000 2.500000 0.000000 0.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.109707 0.000000 0.000000 2.000120 0.000000 0.000000 0.004444 0.000000 0.000000 0.000000 9.929314
0.219415 0.000000 0.000000 2.001773 0.000000 0.000000 0.028964 0.000000 0.000000 0.000000 10.108381
0.329122 0.000000 0.000000 2.006977 0.000000 0.000000 0.067711 0.000000 0.000000 0.000000 10.206846
0.438830 0.000000 0.000000 2.016961 0.000000 0.000000 0.115420 0.000000 0.000000 0.000000 10.268005
0.548537 0.000000 0.000000 2.032457 0.000000 0.000000 0.167409 0.000000 0.000000 0.000000 10.287019
0.658245 0.000000 0.000000 2.053700 0.000000 0.000000 0.219584 0.000000 0.000000 0.000000 10.271942
0.767952 0.000000 0.000000 2.080514 0.000000 0.000000 0.268434 0.000000 0.000000 0.000000 10.227377
0.877660 0.000000 0.000000 2.112369 0.000000 0.000000 0.311033 0.000000 0.000000 0.000000 10.158850
0.987367 0.000000 0.000000 2.148444 0.000000 0.000000 0.345040 0.000000 0.000000 0.000000 10.071650
1.097075 0.000000 0.000000 2.187696 0.000000 0.000000 0.368699 0.000000 0.000000 0.000000 9.971068
1.206782 0.000000 0.000000 2.228920 0.000000 0.000000 0.380840 0.000000 0.000000 0.000000 9.862633
1.316490 0.000000 0.000000 2.270816 0.000000 0.000000 0.380891 0.000000 0.000000 0.000000 9.751396
1.426197 0.000000 0.000000 2.312049 0.000000 0.000000 0.368819 0.000000 0.000000 0.000000 9.642680
1.535905 0.000000 0.000000 2.351318 0.000000 0.000000 0.345222 0.000000 0.000000 0.000000 9.542099
1.645612 0.000000 0.000000 2.387416 0.000000 0.000000 0.311269 0.000000 0.000000 0.000000 9.454791
1.755320 0.000000 0.000000 2.419299 0.000000 0.000000 0.268713 0.000000 0.000000 0.000000 9.386151
1.865027 0.000000 0.000000 2.446146 0.000000 0.000000 0.219891 0.000000 0.000000 0.000000 9.341441
1.974735 0.000000 0.000000 2.467424 0.000000 0.000000 0.167727 0.000000 0.000000 0.000000 9.326192
2.084442 0.000000 0.000000 2.482953 0.000000 0.000000 0.115728 0.000000 0.000000 0.000000 9.345005
2.194150 0.000000 0.000000 2.492970 0.000000 0.000000 0.067987 0.000000 0.000000 0.000000 9.405932
2.303857 0.000000 0.000000 2.498201 0.000000 0.000000 0.029179 0.000000 0.000000 0.000000 9.504144
2.413565 0.000000 0.000000 2.499873 0.000000 0.000000 0.004568 0.000000 0.000000 0.000000 9.682884
2.523272 0.000000 0.000000 2.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
