Generated trajectory:
Group: 10 
ID: 19 
Name: horizontal_diagonal_forth_quadrant_52 
finalTime: 1.598976  
Cost: 1.654419  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 2.230000 -2.230000 0.000000 
To: 3.000000 -3.000000 2.000000 1.410000 -1.410000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 2.230000 -2.230000 0.000000 0.000000 0.000000 0.000000 9.806000
0.099936 0.222744 -0.222744 1.999999 2.227656 -2.227674 0.000002 -0.000396 -0.000467 0.000000 9.807864
0.199872 0.445197 -0.445207 2.000013 2.223770 -2.223981 0.000382 -0.003278 -0.003581 0.000000 9.813722
0.299808 0.667038 -0.667083 2.000098 2.214589 -2.215066 0.001443 -0.011309 -0.011487 0.000000 9.821791
0.399744 0.887487 -0.887584 2.000320 2.195090 -2.195589 0.003067 -0.024675 -0.024555 0.000000 9.830441
0.499680 1.105273 -1.105410 2.000716 2.160598 -2.160874 0.004838 -0.042039 -0.041780 0.000000 9.840388
0.599616 1.318726 -1.318875 2.001271 2.108034 -2.108006 0.006118 -0.061221 -0.061047 0.000000 9.851135
0.699552 1.525981 -1.526115 2.001897 2.036654 -2.036421 0.006138 -0.079701 -0.079841 0.000000 9.860833
0.799488 1.725230 -1.725338 2.002438 1.948358 -1.948094 0.004378 -0.094932 -0.095391 0.000000 9.869319
0.899424 1.914984 -1.915068 2.002719 1.847579 -1.847347 0.001044 -0.104666 -0.105262 0.000000 9.876044
0.999360 2.094312 -2.094373 2.002621 1.740948 -1.740717 -0.003022 -0.106699 -0.107310 0.000000 9.879258
1.099296 2.263033 -2.263072 2.002137 1.636816 -1.636611 -0.006413 -0.099540 -0.100088 0.000000 9.879695
1.199232 2.421861 -2.421882 2.001412 1.544557 -1.544395 -0.007677 -0.082771 -0.083096 0.000000 9.874348
1.299168 2.572447 -2.572454 2.000687 1.473206 -1.473114 -0.006442 -0.057782 -0.057974 0.000000 9.863579
1.399104 2.717221 -2.717223 2.000189 1.428942 -1.428914 -0.003343 -0.028727 -0.028768 0.000000 9.849264
1.499040 2.858999 -2.858999 2.000011 1.412489 -1.412484 -0.000513 -0.004470 -0.004487 0.000000 9.823293
1.598976 3.000000 -3.000000 2.000000 1.410000 -1.410000 0.000000 0.000000 -0.000000 0.000000 9.806000
