Generated trajectory:
Group: 11 
ID: 2 
Name: horizontal_diagonal_first_quadrant_left_1_11 
finalTime: 2.262043  
Cost: 2.511872  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.707100 0.707100 0.000000 
To: 2.000000 3.000000 2.000000 0.707100 0.707100 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.707100 0.707100 0.000000 0.000000 0.000000 0.000000 9.806000
0.102820 0.072684 0.072728 2.000014 0.707214 0.709314 0.000613 -0.011430 0.003270 0.000000 9.825981
0.205640 0.145757 0.147000 2.000220 0.716777 0.744460 0.003585 -0.064199 0.018468 0.000000 9.858556
0.308460 0.220686 0.227913 2.000700 0.743617 0.839566 0.005144 -0.124172 0.035937 0.000000 9.883978
0.411281 0.299235 0.321589 2.001105 0.786694 0.990970 0.001748 -0.173851 0.050588 0.000000 9.905843
0.514101 0.382868 0.433105 2.000862 0.841568 1.183298 -0.007260 -0.204393 0.059772 0.000000 9.923253
0.616921 0.472494 0.565598 1.999521 0.902235 1.395292 -0.018870 -0.212809 0.062472 0.000000 9.939047
0.719741 0.568382 0.719949 1.997051 0.962283 1.604884 -0.028459 -0.199692 0.058535 0.000000 9.951951
0.822561 0.670156 0.894836 1.993878 1.015873 1.791530 -0.032033 -0.167668 0.049311 0.000000 9.960946
0.925381 0.776905 1.086977 1.990739 1.058352 1.937945 -0.027687 -0.120828 0.036048 0.000000 9.966492
1.028201 0.887281 1.291516 1.988437 1.085845 2.030840 -0.016039 -0.063409 0.019609 0.000000 9.969372
1.131022 0.999587 1.502472 1.987591 1.095575 2.061855 -0.000042 -0.000830 0.001416 0.000000 9.969573
1.233842 1.111925 1.713299 1.988427 1.086418 2.028353 0.015914 0.061644 -0.016986 0.000000 9.967100
1.336662 1.222378 1.917469 1.990712 1.059215 1.933355 0.027490 0.118770 -0.033829 0.000000 9.962637
1.439482 1.329209 2.109049 1.993828 1.016494 1.785261 0.031777 0.165594 -0.047779 0.000000 9.956221
1.542302 1.431016 2.283224 1.996973 0.962316 1.597413 0.028188 0.197369 -0.057032 0.000000 9.946783
1.645122 1.526895 2.436773 1.999420 0.902172 1.387266 0.018699 0.210282 -0.060304 0.000000 9.934136
1.747942 1.616539 2.568444 2.000754 0.842035 1.175484 0.007347 0.201346 -0.057385 0.000000 9.918731
1.850763 1.700251 2.679212 2.001021 0.787743 0.984433 -0.001410 0.170099 -0.048480 0.000000 9.899407
1.953583 1.778931 2.772329 2.000651 0.745064 0.835348 -0.004830 0.119911 -0.034144 0.000000 9.877644
2.056403 1.854018 2.852951 2.000201 0.718368 0.743064 -0.003325 0.059865 -0.017019 0.000000 9.854424
2.159223 1.927245 2.927212 2.000013 0.708484 0.710128 -0.000550 0.009309 -0.002654 0.000000 9.824029
2.262043 2.000000 3.000000 2.000000 0.707100 0.707100 -0.000000 -0.000000 -0.000000 0.000000 9.806000
