Generated trajectory:
Group: 12 
ID: 25 
Name: fwd_smooth_straightx_downz_2 
finalTime: 2.064649  
Cost: 3.392394  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 2.000000 0.000000 0.000000 
To: 2.000000 0.000000 0.000000 0.000000 0.000000 -2.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.103232 0.206347 0.000000 1.999873 1.997393 0.000000 -0.004862 0.000000 -0.002127 0.000000 9.666521
0.206465 0.412175 0.000000 1.998169 1.988358 0.000000 -0.032161 0.000000 -0.013927 0.000000 9.433783
0.309697 0.616308 0.000000 1.992518 1.962931 0.000000 -0.080667 0.000000 -0.036413 0.000000 9.244725
0.412930 0.816571 0.000000 1.980813 1.911984 0.000000 -0.149460 0.000000 -0.068814 0.000000 9.065045
0.516162 1.009940 0.000000 1.960980 1.828467 0.000000 -0.238045 0.000000 -0.108344 0.000000 8.905497
0.619395 1.192838 0.000000 1.930990 1.708854 0.000000 -0.346196 0.000000 -0.150978 0.000000 8.765545
0.722627 1.361525 0.000000 1.888854 1.553563 0.000000 -0.473164 0.000000 -0.191886 0.000000 8.649394
0.825860 1.512530 0.000000 1.832715 1.367457 0.000000 -0.617038 0.000000 -0.225430 0.000000 8.556846
0.929092 1.643092 0.000000 1.760987 1.159184 0.000000 -0.774504 0.000000 -0.247374 0.000000 8.488940
1.032324 1.751486 0.000000 1.672513 0.940083 0.000000 -0.940499 0.000000 -0.254176 0.000000 8.448198
1.135557 1.837255 0.000000 1.566725 0.723012 0.000000 -1.108872 0.000000 -0.244666 0.000000 8.436045
1.238789 1.901280 0.000000 1.443707 0.520927 0.000000 -1.273301 0.000000 -0.219413 0.000000 8.454451
1.342022 1.945730 0.000000 1.304160 0.345502 0.000000 -1.428284 0.000000 -0.181564 0.000000 8.505072
1.445254 1.973834 0.000000 1.149281 0.205360 0.000000 -1.569812 0.000000 -0.136279 0.000000 8.589699
1.548487 1.989494 0.000000 0.980602 0.104712 0.000000 -1.695281 0.000000 -0.089832 0.000000 8.710404
1.651719 1.996784 0.000000 0.799881 0.042536 0.000000 -1.802832 0.000000 -0.048881 0.000000 8.867573
1.754952 1.999365 0.000000 0.609064 0.011864 0.000000 -1.890443 0.000000 -0.019705 0.000000 9.066805
1.858184 1.999939 0.000000 0.410363 0.001659 0.000000 -1.955174 0.000000 -0.004185 0.000000 9.295211
1.961416 1.999998 0.000000 0.206287 0.000080 0.000000 -1.993157 0.000000 -0.000328 0.000000 9.608946
2.064649 2.000000 0.000000 0.000000 0.000000 0.000000 -2.000000 0.000000 -0.000000 0.000000 9.806000
