Generated trajectory:
Group: 13 
ID: 7 
Name: smooth_revxfwdy_half_right 
finalTime: 1.824415  
Cost: 1.983203  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -0.707100 0.707100 0.000000 
To: -1.000000 2.000000 2.000000 -0.000000 1.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -0.707100 0.707100 0.000000 0.000000 0.000000 0.000000 9.806000
0.101356 -0.071654 0.071676 2.000003 -0.707433 0.708486 0.000194 -0.008296 -0.004145 0.000000 9.813729
0.202713 -0.143801 0.144416 2.000071 -0.719299 0.733244 0.001178 -0.046054 -0.022415 0.000000 9.828002
0.304069 -0.218105 0.221728 2.000208 -0.749580 0.798996 0.001211 -0.086314 -0.038697 0.000000 9.840703
0.405426 -0.296145 0.307582 2.000242 -0.791414 0.900007 -0.000897 -0.115754 -0.045248 0.000000 9.852353
0.506782 -0.378545 0.404887 1.999982 -0.833532 1.022120 -0.004286 -0.128260 -0.039278 0.000000 9.862316
0.608138 -0.464704 0.514899 1.999404 -0.863612 1.147817 -0.006768 -0.123219 -0.021266 0.000000 9.870868
0.709495 -0.552833 0.637124 1.998707 -0.870798 1.260577 -0.006437 -0.102715 0.006250 0.000000 9.878946
0.810851 -0.640196 0.769523 1.998210 -0.847630 1.346517 -0.002887 -0.070101 0.038997 0.000000 9.885738
0.912208 -0.723508 0.908834 1.998181 -0.790552 1.395764 0.002395 -0.030382 0.073311 0.000000 9.889978
1.013564 -0.799329 1.051083 1.998667 -0.700416 1.404395 0.006838 0.009974 0.104291 0.000000 9.892802
1.114920 -0.864568 1.192213 1.999468 -0.583118 1.374424 0.008383 0.045786 0.127284 0.000000 9.894430
1.216277 -0.916962 1.328632 2.000247 -0.448969 1.313065 0.006465 0.072026 0.138259 0.000000 9.893246
1.317633 -0.955459 1.457713 2.000701 -0.311276 1.231874 0.002298 0.084988 0.134926 0.000000 9.886592
1.418990 -0.980440 1.578190 2.000715 -0.184832 1.146034 -0.001787 0.081496 0.115939 0.000000 9.874567
1.520346 -0.993838 1.690419 2.000426 -0.085196 1.071609 -0.003375 0.063047 0.082045 0.000000 9.859237
1.621702 -0.998999 1.796247 2.000127 -0.023453 1.021517 -0.002182 0.033815 0.041196 0.000000 9.840475
1.723059 -0.999969 1.898566 2.000007 -0.001574 1.002329 -0.000344 0.005400 0.006454 0.000000 9.818118
1.824415 -1.000000 2.000000 2.000000 -0.000000 1.000000 0.000000 -0.000000 -0.000000 0.000000 9.806000
