Generated trajectory:
Group: 14 
ID: 2 
Name: smooth_fwdxrevy_half_right_2 
finalTime: 1.872219  
Cost: 2.142359  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 1.414200 -1.414200 0.000000 
To: 2.000000 -3.000000 2.000000 0.000000 -2.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 1.414200 -1.414200 0.000000 0.000000 0.000000 0.000000 9.806000
0.093611 0.132351 -0.132316 1.999993 1.414377 -1.412538 -0.000259 -0.001452 0.006431 0.000000 9.799597
0.187222 0.265328 -0.264341 1.999919 1.431200 -1.407181 -0.001484 -0.007727 0.035364 0.000000 9.794908
0.280833 0.401190 -0.395592 1.999689 1.475765 -1.396255 -0.003547 -0.012647 0.063155 0.000000 9.801655
0.374444 0.542249 -0.525666 1.999245 1.540176 -1.382673 -0.005900 -0.013261 0.077615 0.000000 9.814651
0.468055 0.689706 -0.654517 1.998619 1.609665 -1.370965 -0.007121 -0.008531 0.073633 0.000000 9.833243
0.561666 0.843223 -0.782548 1.998003 1.666699 -1.365898 -0.005442 0.001080 0.050599 0.000000 9.857210
0.655277 1.000847 -0.910583 1.997720 1.694956 -1.371697 0.000010 0.014752 0.011765 0.000000 9.885198
0.748887 1.159261 -1.039791 1.998096 1.681867 -1.391274 0.008312 0.030501 -0.037939 0.000000 9.914020
0.842498 1.314195 -1.171532 1.999285 1.619809 -1.425940 0.016872 0.046945 -0.092775 0.000000 9.941580
0.936109 1.460935 -1.307231 2.001164 1.507018 -1.475701 0.022542 0.062513 -0.146428 0.000000 9.968012
1.029720 1.594873 -1.448239 2.003339 1.347314 -1.538956 0.022914 0.075480 -0.193578 0.000000 9.991831
1.123331 1.711980 -1.595686 2.005258 1.149240 -1.612683 0.017080 0.084557 -0.229301 0.000000 10.010369
1.216942 1.809235 -1.750361 2.006379 0.925615 -1.692583 0.006279 0.088506 -0.249069 0.000000 10.022047
1.310553 1.884981 -1.912612 2.006377 0.692622 -1.773652 -0.006280 0.086908 -0.249697 0.000000 10.025568
1.404164 1.939189 -2.082280 2.005282 0.468630 -1.849972 -0.016341 0.078425 -0.229373 0.000000 10.019599
1.497775 1.973606 -2.258618 2.003512 0.273034 -1.915136 -0.020260 0.063562 -0.188183 0.000000 10.000530
1.591386 1.991768 -2.440318 2.001717 0.124059 -1.963772 -0.017003 0.043791 -0.129908 0.000000 9.967620
1.684997 1.998673 -2.625651 2.000482 0.033734 -1.992400 -0.008925 0.021526 -0.063929 0.000000 9.925511
1.778608 1.999958 -2.812704 2.000033 0.002256 -2.001117 -0.001447 0.003347 -0.009978 0.000000 9.854408
1.872219 2.000000 -3.000000 2.000000 0.000000 -2.000000 0.000000 0.000000 0.000000 0.000000 9.806000
