Generated trajectory:
Group: 1 
ID: 8 
Name: horizontal_diagonal_third_quadrant 
finalTime: 2.142535  
Cost: 2.485525  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: -1.000000 -1.000000 2.000000 0.000000 0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.102025 -0.000051 -0.000051 2.000018 -0.002448 -0.002491 0.000750 0.009756 -0.009596 0.000000 9.830270
0.204051 -0.001441 -0.001463 2.000263 -0.032394 -0.032841 0.004277 0.054537 -0.054003 0.000000 9.870433
0.306076 -0.008387 -0.008488 2.000816 -0.112133 -0.113226 0.005721 0.104100 -0.104122 0.000000 9.899505
0.408102 -0.025890 -0.026120 2.001203 -0.237695 -0.239024 0.000636 0.143257 -0.144807 0.000000 9.926247
0.510127 -0.057970 -0.058329 2.000730 -0.394901 -0.396086 -0.010664 0.165299 -0.167723 0.000000 9.950562
0.612153 -0.106898 -0.107377 1.998958 -0.564693 -0.565912 -0.023941 0.168286 -0.170559 0.000000 9.968881
0.714178 -0.172974 -0.173583 1.995973 -0.728007 -0.729293 -0.033489 0.152530 -0.154529 0.000000 9.981851
0.816204 -0.254648 -0.255361 1.992411 -0.867855 -0.868417 -0.034703 0.120702 -0.122809 0.000000 9.991163
0.918229 -0.348764 -0.349465 1.989235 -0.969681 -0.968880 -0.025965 0.076887 -0.078386 0.000000 9.997462
1.020255 -0.450827 -0.451394 1.987385 -1.022188 -1.020480 -0.009334 0.025556 -0.026056 0.000000 9.999551
1.122280 -0.555483 -0.555860 1.987425 -1.020225 -1.018316 0.010096 -0.027643 0.027753 0.000000 9.999550
1.224306 -0.657168 -0.657369 1.989344 -0.964402 -0.962999 0.026527 -0.078055 0.079156 0.000000 9.995973
1.326331 -0.750621 -0.750729 1.992559 -0.860264 -0.859852 0.034885 -0.121218 0.123056 0.000000 9.988089
1.428357 -0.831429 -0.831533 1.996120 -0.718707 -0.718911 0.033283 -0.152536 0.154562 0.000000 9.977943
1.530382 -0.896494 -0.896616 1.999063 -0.554325 -0.554367 0.023369 -0.168019 0.169979 0.000000 9.965080
1.632408 -0.944367 -0.944468 2.000774 -0.384908 -0.384453 0.010108 -0.163855 0.165688 0.000000 9.946882
1.734433 -0.975509 -0.975551 2.001202 -0.229412 -0.228823 -0.000937 -0.140694 0.142289 0.000000 9.921751
1.836459 -0.992279 -0.992279 2.000799 -0.106112 -0.105933 -0.005751 -0.100434 0.101426 0.000000 9.895365
1.938484 -0.998748 -0.998746 2.000253 -0.029170 -0.029216 -0.004161 -0.050845 0.050877 0.000000 9.867187
2.040510 -0.999961 -0.999961 2.000017 -0.001953 -0.001952 -0.000708 -0.007957 0.007951 0.000000 9.828870
2.142535 -1.000000 -1.000000 2.000000 0.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 9.806000
