Generated trajectory:
Group: 2 
ID: 1 
Name: vertical_fwd_x_down_z 
finalTime: 3.158365  
Cost: 3.795244  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: 1.000000 0.000000 1.000000 0.000000 0.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.101883 0.000021 0.000000 1.999898 0.001018 0.000000 -0.003929 0.000000 0.004034 0.000000 9.692137
0.203765 0.000596 0.000000 1.998554 0.013477 0.000000 -0.025453 0.000000 0.023658 0.000000 9.518436
0.305648 0.003551 0.000000 1.994238 0.048662 0.000000 -0.061329 0.000000 0.049866 0.000000 9.406132
0.407531 0.011362 0.000000 1.985661 0.108719 0.000000 -0.108782 0.000000 0.075891 0.000000 9.319393
0.509414 0.026451 0.000000 1.971774 0.190641 0.000000 -0.165031 0.000000 0.096549 0.000000 9.264484
0.611296 0.050721 0.000000 1.951840 0.287609 0.000000 -0.226956 0.000000 0.108571 0.000000 9.236284
0.713179 0.085272 0.000000 1.925451 0.390950 0.000000 -0.291165 0.000000 0.110667 0.000000 9.232920
0.815062 0.130292 0.000000 1.892548 0.491625 0.000000 -0.354283 0.000000 0.103018 0.000000 9.251671
0.916945 0.185068 0.000000 1.853399 0.581163 0.000000 -0.413349 0.000000 0.086862 0.000000 9.289785
1.018827 0.248103 0.000000 1.808537 0.652824 0.000000 -0.466115 0.000000 0.064910 0.000000 9.344694
1.120710 0.317335 0.000000 1.758686 0.702290 0.000000 -0.511102 0.000000 0.039882 0.000000 9.413922
1.222593 0.390384 0.000000 1.704686 0.727633 0.000000 -0.547462 0.000000 0.014437 0.000000 9.494596
1.324476 0.464791 0.000000 1.647439 0.729191 0.000000 -0.574766 0.000000 -0.009201 0.000000 9.584574
1.426358 0.538234 0.000000 1.587886 0.709189 0.000000 -0.592743 0.000000 -0.029350 0.000000 9.680175
1.528241 0.608689 0.000000 1.526978 0.671222 0.000000 -0.601316 0.000000 -0.045055 0.000000 9.779539
1.630124 0.674539 0.000000 1.465688 0.619515 0.000000 -0.600187 0.000000 -0.056132 0.000000 9.881489
1.732007 0.734608 0.000000 1.405014 0.558476 0.000000 -0.589251 0.000000 -0.062676 0.000000 9.981088
1.833889 0.788163 0.000000 1.345945 0.492289 0.000000 -0.568714 0.000000 -0.065332 0.000000 10.075936
1.935772 0.834865 0.000000 1.289445 0.424493 0.000000 -0.538894 0.000000 -0.064908 0.000000 10.164524
2.037655 0.874701 0.000000 1.236432 0.357900 0.000000 -0.500412 0.000000 -0.062189 0.000000 10.243660
2.139538 0.907907 0.000000 1.187740 0.294631 0.000000 -0.454252 0.000000 -0.057911 0.000000 10.310684
2.241420 0.934895 0.000000 1.144088 0.236005 0.000000 -0.401707 0.000000 -0.052845 0.000000 10.363077
2.343303 0.956183 0.000000 1.106048 0.182852 0.000000 -0.344389 0.000000 -0.047277 0.000000 10.398329
2.445186 0.972351 0.000000 1.074012 0.135514 0.000000 -0.284191 0.000000 -0.041674 0.000000 10.413577
2.547069 0.984010 0.000000 1.048163 0.094463 0.000000 -0.223318 0.000000 -0.035431 0.000000 10.406245
2.648951 0.991835 0.000000 1.028449 0.060337 0.000000 -0.164198 0.000000 -0.028829 0.000000 10.373793
2.750834 0.996555 0.000000 1.014553 0.033593 0.000000 -0.109559 0.000000 -0.021729 0.000000 10.314072
2.852717 0.998949 0.000000 1.005871 0.014752 0.000000 -0.062402 0.000000 -0.014194 0.000000 10.222049
2.954600 0.999833 0.000000 1.001469 0.003915 0.000000 -0.026011 0.000000 -0.006770 0.000000 10.104263
3.056482 0.999995 0.000000 1.000099 0.000257 0.000000 -0.003942 0.000000 -0.001041 0.000000 9.923868
3.158365 1.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
