Generated trajectory:
Group: 2 
ID: 13 
Name: vertical_rev_x_fwd_y_down_z 
finalTime: 3.157322  
Cost: 3.798746  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: -1.000000 1.000000 1.000000 0.000000 0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.101849 -0.000021 0.000022 1.999902 -0.001016 0.001059 -0.003785 -0.004192 -0.004027 0.000000 9.696393
0.203698 -0.000595 0.000619 1.998606 -0.013448 0.013986 -0.024595 -0.024509 -0.023570 0.000000 9.529491
0.305547 -0.003538 0.003682 1.994417 -0.048435 0.050441 -0.059791 -0.051560 -0.049488 0.000000 9.422138
0.407396 -0.011298 0.011770 1.986002 -0.107913 0.112532 -0.107387 -0.078209 -0.075122 0.000000 9.339753
0.509246 -0.026250 0.027366 1.972200 -0.188797 0.196928 -0.165071 -0.099004 -0.095480 0.000000 9.288322
0.611095 -0.050257 0.052390 1.952145 -0.284397 0.296188 -0.229543 -0.110413 -0.107423 0.000000 9.262789
0.712944 -0.084399 0.087890 1.925352 -0.386377 0.401060 -0.296689 -0.111461 -0.109701 0.000000 9.261302
0.814793 -0.128878 0.133955 1.891766 -0.485937 0.502140 -0.362209 -0.102537 -0.102279 0.000000 9.281195
0.916642 -0.183021 0.189760 1.851752 -0.574899 0.591050 -0.422415 -0.085531 -0.086700 0.000000 9.319841
1.018491 -0.245398 0.253715 1.805989 -0.646670 0.661289 -0.474765 -0.062839 -0.065262 0.000000 9.374851
1.120340 -0.314009 0.323683 1.755356 -0.696785 0.708636 -0.517943 -0.037281 -0.040709 0.000000 9.443709
1.222189 -0.386525 0.397225 1.700808 -0.723201 0.731378 -0.551636 -0.011546 -0.015668 0.000000 9.523565
1.324038 -0.460523 0.471844 1.643303 -0.726103 0.730063 -0.576059 0.012177 0.007706 0.000000 9.612507
1.425888 -0.533704 0.545202 1.583772 -0.707662 0.707156 -0.591482 0.032126 0.027598 0.000000 9.706897
1.527737 -0.604069 0.615291 1.523116 -0.671458 0.666604 -0.598147 0.047276 0.043178 0.000000 9.804750
1.629586 -0.670014 0.680543 1.462235 -0.621542 0.612916 -0.595857 0.057656 0.054414 0.000000 9.904941
1.731435 -0.730350 0.739848 1.402051 -0.562001 0.550583 -0.584429 0.063476 0.061452 0.000000 10.002543
1.833284 -0.784300 0.792549 1.343496 -0.496790 0.483903 -0.563919 0.065308 0.064665 0.000000 10.094770
1.935133 -0.831476 0.838391 1.287485 -0.429530 0.416386 -0.534489 0.064286 0.064581 0.000000 10.180432
2.036982 -0.871828 0.877423 1.234910 -0.363222 0.350528 -0.496579 0.061319 0.062068 0.000000 10.257020
2.138831 -0.905570 0.909912 1.186593 -0.300011 0.288167 -0.451029 0.056962 0.058007 0.000000 10.321673
2.240680 -0.933091 0.936284 1.143254 -0.241244 0.230553 -0.399074 0.051827 0.053140 0.000000 10.371767
2.342530 -0.954884 0.957064 1.105466 -0.187581 0.178482 -0.342302 0.046162 0.047999 0.000000 10.404777
2.444379 -0.971488 0.972848 1.073627 -0.139434 0.132520 -0.282601 0.040264 0.042534 0.000000 10.418108
2.546228 -0.983492 0.984267 1.047927 -0.097352 0.092726 -0.222157 0.034530 0.036516 0.000000 10.409003
2.648077 -0.991555 0.991955 1.028317 -0.062225 0.059378 -0.163423 0.028230 0.029636 0.000000 10.374944
2.749926 -0.996427 0.996603 1.014488 -0.034744 0.033132 -0.109087 0.021396 0.022372 0.000000 10.314188
2.851775 -0.998906 0.998965 1.005846 -0.015319 0.014553 -0.062150 0.014019 0.014677 0.000000 10.221486
2.953624 -0.999826 0.999836 1.001462 -0.004084 0.003856 -0.025907 0.006679 0.007051 0.000000 10.103434
3.055473 -0.999995 0.999995 1.000098 -0.000268 0.000252 -0.003926 0.001023 0.001088 0.000000 9.923436
3.157322 -1.000000 1.000000 1.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 9.806000
