Generated trajectory:
Group: 3 
ID: 5 
Name: down_short_z_01 
finalTime: 1.933409  
Cost: 2.400479  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: 0.000000 0.000000 1.000000 0.000000 0.000000 -1.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.107412 0.000000 0.000000 1.999874 0.000000 0.000000 -0.004641 0.000000 0.000000 0.000000 9.678168
0.214823 0.000000 0.000000 1.998195 0.000000 0.000000 -0.030230 0.000000 0.000000 0.000000 9.476607
0.322235 0.000000 0.000000 1.992765 0.000000 0.000000 -0.073432 0.000000 0.000000 0.000000 9.333684
0.429647 0.000000 0.000000 1.981899 0.000000 0.000000 -0.131055 0.000000 0.000000 0.000000 9.212218
0.537058 0.000000 0.000000 1.964205 0.000000 0.000000 -0.200047 0.000000 0.000000 0.000000 9.120704
0.644470 0.000000 0.000000 1.938623 0.000000 0.000000 -0.277476 0.000000 0.000000 0.000000 9.055050
0.751881 0.000000 0.000000 1.904393 0.000000 0.000000 -0.360598 0.000000 0.000000 0.000000 9.014507
0.859293 0.000000 0.000000 1.861049 0.000000 0.000000 -0.446782 0.000000 0.000000 0.000000 8.997803
0.966705 0.000000 0.000000 1.808394 0.000000 0.000000 -0.533541 0.000000 0.000000 0.000000 9.003582
1.074116 0.000000 0.000000 1.746495 0.000000 0.000000 -0.618531 0.000000 0.000000 0.000000 9.030534
1.181528 0.000000 0.000000 1.675662 0.000000 0.000000 -0.699547 0.000000 0.000000 0.000000 9.077349
1.288940 0.000000 0.000000 1.596432 0.000000 0.000000 -0.774528 0.000000 0.000000 0.000000 9.142680
1.396351 0.000000 0.000000 1.509560 0.000000 0.000000 -0.841552 0.000000 0.000000 0.000000 9.225334
1.503763 0.000000 0.000000 1.415996 0.000000 0.000000 -0.898841 0.000000 0.000000 0.000000 9.323527
1.611174 0.000000 0.000000 1.316875 0.000000 0.000000 -0.944756 0.000000 0.000000 0.000000 9.437686
1.718586 0.000000 0.000000 1.213505 0.000000 0.000000 -0.977801 0.000000 0.000000 0.000000 9.559991
1.825998 0.000000 0.000000 1.107319 0.000000 0.000000 -0.996620 0.000000 0.000000 0.000000 9.713397
1.933409 0.000000 0.000000 1.000000 0.000000 0.000000 -1.000000 0.000000 0.000000 0.000000 9.806000
