Generated trajectory:
Group: 3 
ID: 7 
Name: horizontal_diagonal_second_quadrant_01 
finalTime: 1.761206  
Cost: 1.952882  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: -1.000000 1.000000 2.000000 -0.707100 0.707100 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.097845 -0.000041 0.000042 2.000023 -0.002068 0.002118 0.000984 -0.008650 -0.008455 0.000000 9.838289
0.195690 -0.001170 0.001195 2.000338 -0.027457 0.027974 0.005894 -0.048334 -0.047688 0.000000 9.886387
0.293534 -0.006821 0.006927 2.001151 -0.095135 0.096253 0.010177 -0.091891 -0.091799 0.000000 9.914189
0.391379 -0.021054 0.021290 2.002176 -0.201416 0.202946 0.009862 -0.126554 -0.127104 0.000000 9.934036
0.489224 -0.047104 0.047518 2.002910 -0.334223 0.336351 0.004391 -0.146402 -0.147309 0.000000 9.943267
0.587069 -0.086816 0.087461 2.002942 -0.478041 0.480514 -0.003898 -0.149102 -0.150887 0.000000 9.942196
0.684913 -0.140511 0.141376 2.002178 -0.617594 0.619450 -0.011263 -0.136381 -0.138817 0.000000 9.935002
0.782758 -0.207081 0.208062 2.000872 -0.739068 0.739527 -0.014590 -0.110997 -0.113331 0.000000 9.923308
0.880603 -0.284181 0.285131 1.999492 -0.831327 0.830263 -0.012796 -0.076931 -0.078575 0.000000 9.908382
0.978448 -0.368597 0.369386 1.998494 -0.888008 0.885907 -0.007187 -0.039586 -0.040301 0.000000 9.889611
1.076292 -0.456746 0.457312 1.998115 -0.907803 0.905454 -0.000671 -0.003247 -0.003100 0.000000 9.867905
1.174137 -0.545153 0.545506 1.998304 -0.894310 0.892398 0.004093 0.027085 0.027767 0.000000 9.848175
1.271982 -0.630947 0.631146 1.998817 -0.856202 0.854970 0.005864 0.046836 0.047553 0.000000 9.830951
1.369827 -0.712300 0.712406 1.999363 -0.805811 0.805090 0.004963 0.052864 0.053315 0.000000 9.816502
1.467671 -0.788691 0.788739 1.999752 -0.757074 0.756584 0.002934 0.044388 0.044604 0.000000 9.804073
1.565516 -0.860915 0.860926 1.999941 -0.722386 0.722145 0.001060 0.024524 0.024862 0.000000 9.798183
1.663361 -0.930762 0.930762 1.999994 -0.708742 0.708721 0.000180 0.003951 0.004038 0.000000 9.802342
1.761206 -1.000000 1.000000 2.000000 -0.707100 0.707100 -0.000000 -0.000000 0.000000 0.000000 9.806000
