Generated trajectory:
Group: 4 
ID: 12 
Name: vertical_rev_x_up_z_000_-101 
finalTime: 2.293447  
Cost: 2.576684  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: -1.000000 0.000000 3.000000 -0.707100 0.000000 0.707100 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.134909 -0.000041 0.000000 2.000220 -0.001492 0.000000 0.006605 0.000000 -0.004363 0.000000 9.954723
0.269817 -0.001153 0.000000 2.003236 -0.019461 0.000000 0.042957 0.000000 -0.023353 0.000000 10.173122
0.404726 -0.006558 0.000000 2.012726 -0.065017 0.000000 0.100405 0.000000 -0.041900 0.000000 10.298562
0.539635 -0.019729 0.000000 2.030941 -0.133498 0.000000 0.171376 0.000000 -0.055547 0.000000 10.382867
0.674543 -0.043275 0.000000 2.059286 -0.217469 0.000000 0.249559 0.000000 -0.063576 0.000000 10.420407
0.809452 -0.078749 0.000000 2.098368 -0.309122 0.000000 0.329787 0.000000 -0.066700 0.000000 10.421057
0.944360 -0.126744 0.000000 2.148167 -0.402084 0.000000 0.407809 0.000000 -0.065561 0.000000 10.390254
1.079269 -0.186954 0.000000 2.208149 -0.488865 0.000000 0.480226 0.000000 -0.058991 0.000000 10.332933
1.214178 -0.258155 0.000000 2.277357 -0.564770 0.000000 0.544204 0.000000 -0.051163 0.000000 10.258601
1.349086 -0.338764 0.000000 2.354536 -0.627826 0.000000 0.598224 0.000000 -0.041011 0.000000 10.176367
1.483995 -0.426812 0.000000 2.438280 -0.674490 0.000000 0.641378 0.000000 -0.028309 0.000000 10.088065
1.618904 -0.519939 0.000000 2.527070 -0.703156 0.000000 0.673015 0.000000 -0.015543 0.000000 10.000103
1.753812 -0.615800 0.000000 2.619371 -0.715552 0.000000 0.693571 0.000000 -0.004861 0.000000 9.920759
1.888721 -0.712475 0.000000 2.713769 -0.716187 0.000000 0.704418 0.000000 0.001654 0.000000 9.856475
2.023630 -0.808803 0.000000 2.809104 -0.711566 0.000000 0.707924 0.000000 0.002959 0.000000 9.812308
2.158538 -0.904537 0.000000 2.904593 -0.708239 0.000000 0.707417 0.000000 0.000573 0.000000 9.800755
2.293447 -1.000000 0.000000 3.000000 -0.707100 0.000000 0.707100 0.000000 0.000000 0.000000 9.806000
