Generated trajectory:
Group: 4 
ID: 17 
Name: vertical_rev_x_down_z_-10-1_-10-1 
finalTime: 1.393868  
Cost: 1.403703  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -0.707100 0.000000 -0.707100 
To: -1.000000 0.000000 1.000000 -0.707100 0.000000 -0.707100 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -0.707100 0.000000 -0.707100 0.000000 0.000000 0.000000 9.806000
0.107221 -0.075779 0.000000 1.924162 -0.706541 0.000000 -0.707867 0.000000 -0.000742 0.000000 9.786343
0.214441 -0.151590 0.000000 1.848087 -0.708157 0.000000 -0.711582 0.000000 -0.004031 0.000000 9.762921
0.321662 -0.227767 0.000000 1.771529 -0.713281 0.000000 -0.716549 0.000000 -0.006916 0.000000 9.759212
0.428883 -0.304614 0.000000 1.694431 -0.720253 0.000000 -0.721456 0.000000 -0.007447 0.000000 9.764836
0.536103 -0.382193 0.000000 1.616859 -0.726524 0.000000 -0.725255 0.000000 -0.005718 0.000000 9.778920
0.643324 -0.460320 0.000000 1.538971 -0.730280 0.000000 -0.727287 0.000000 -0.002795 0.000000 9.796884
0.750545 -0.538673 0.000000 1.460971 -0.730644 0.000000 -0.727304 0.000000 0.000631 0.000000 9.816132
0.857765 -0.616874 0.000000 1.383081 -0.727524 0.000000 -0.725249 0.000000 0.003624 0.000000 9.835319
0.964986 -0.694597 0.000000 1.305515 -0.721989 0.000000 -0.721339 0.000000 0.005120 0.000000 9.849489
1.072206 -0.771672 0.000000 1.228433 -0.715728 0.000000 -0.716405 0.000000 0.004987 0.000000 9.854483
1.179427 -0.848117 0.000000 1.151890 -0.710550 0.000000 -0.711419 0.000000 0.003085 0.000000 9.850378
1.286648 -0.924141 0.000000 1.075831 -0.707991 0.000000 -0.707752 0.000000 0.000515 0.000000 9.826032
1.393868 -1.000000 0.000000 1.000000 -0.707100 0.000000 -0.707100 0.000000 0.000000 0.000000 9.806000
