Generated trajectory:
Group: 4 
ID: 2 
Name: vertical_fwd_x_up_z_101_101 
finalTime: 1.393904  
Cost: 1.403717  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.707100 0.000000 0.707100 
To: 1.000000 0.000000 3.000000 0.707100 0.000000 0.707100 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.707100 0.000000 0.707100 0.000000 0.000000 0.000000 9.806000
0.107223 0.075781 0.000000 2.075833 0.706544 0.000000 0.707749 0.000000 0.000750 0.000000 9.825970
0.214447 0.151596 0.000000 2.151893 0.708175 0.000000 0.711403 0.000000 0.003963 0.000000 9.850217
0.321670 0.227768 0.000000 2.228435 0.713095 0.000000 0.716367 0.000000 0.006528 0.000000 9.854403
0.428893 0.304581 0.000000 2.305514 0.719802 0.000000 0.721271 0.000000 0.007264 0.000000 9.849041
0.536117 0.382112 0.000000 2.383070 0.726092 0.000000 0.725120 0.000000 0.005812 0.000000 9.835328
0.643340 0.460204 0.000000 2.460951 0.730031 0.000000 0.727236 0.000000 0.002992 0.000000 9.817099
0.750563 0.538544 0.000000 2.538950 0.730628 0.000000 0.727308 0.000000 -0.000393 0.000000 9.797437
0.857787 0.616759 0.000000 2.616845 0.727752 0.000000 0.725303 0.000000 -0.003449 0.000000 9.778767
0.965010 0.694516 0.000000 2.694424 0.722324 0.000000 0.721484 0.000000 -0.005144 0.000000 9.764510
1.072233 0.771629 0.000000 2.771525 0.716057 0.000000 0.716559 0.000000 -0.005080 0.000000 9.758856
1.179457 0.848105 0.000000 2.848085 0.710723 0.000000 0.711564 0.000000 -0.003336 0.000000 9.762815
1.286680 0.924139 0.000000 2.924160 0.708005 0.000000 0.707862 0.000000 -0.000571 0.000000 9.786484
1.393904 1.000000 0.000000 3.000000 0.707100 0.000000 0.707100 0.000000 0.000000 0.000000 9.806000
