Generated trajectory:
Group: 4 
ID: 28 
Name: vertical_fwd_x_fwd_y_down_z_11-1_000 
finalTime: 2.461384  
Cost: 2.763815  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.577400 0.577400 -0.577400 
To: 1.000000 1.000000 1.000000 -0.000000 0.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.577400 0.577400 -0.577400 0.000000 0.000000 0.000000 9.806000
0.107017 0.061767 0.061768 1.938171 0.577176 0.577245 -0.578757 -0.001733 0.001475 0.000000 9.769761
0.214033 0.123691 0.123732 1.875910 0.581283 0.582113 -0.585628 -0.009316 0.008123 0.000000 9.724758
0.321050 0.186450 0.186653 1.812737 0.592753 0.595005 -0.595159 -0.016216 0.014832 0.000000 9.716400
0.428067 0.250765 0.251280 1.748524 0.609886 0.613377 -0.604729 -0.019649 0.018674 0.000000 9.727500
0.535084 0.317044 0.317980 1.683383 0.628635 0.632927 -0.612121 -0.018267 0.017764 0.000000 9.757457
0.642100 0.385195 0.386600 1.617660 0.644068 0.648381 -0.615307 -0.011856 0.012357 0.000000 9.803349
0.749117 0.454624 0.456445 1.551895 0.651889 0.655193 -0.612686 -0.001998 0.003335 0.000000 9.861901
0.856134 0.524331 0.526421 1.486769 0.648835 0.650482 -0.603242 0.009765 -0.008055 0.000000 9.929414
0.963150 0.593038 0.595205 1.423043 0.632989 0.632796 -0.586478 0.022050 -0.020376 0.000000 10.002522
1.070167 0.659343 0.661398 1.361509 0.604032 0.602192 -0.562269 0.033481 -0.032145 0.000000 10.078374
1.177184 0.721881 0.723670 1.302961 0.562791 0.559736 -0.530727 0.043514 -0.042674 0.000000 10.153269
1.284200 0.779418 0.780840 1.248162 0.510912 0.507202 -0.492276 0.051444 -0.051188 0.000000 10.223381
1.391217 0.830936 0.831953 1.197823 0.450714 0.446954 -0.447508 0.057074 -0.057380 0.000000 10.285770
1.498234 0.875683 0.876319 1.152578 0.384808 0.381527 -0.397232 0.060379 -0.061111 0.000000 10.337084
1.605251 0.913192 0.913519 1.112960 0.315935 0.313471 -0.342541 0.061455 -0.062388 0.000000 10.373795
1.712267 0.943298 0.943411 1.079369 0.246930 0.245387 -0.284862 0.060213 -0.061135 0.000000 10.392615
1.819284 0.966144 0.966137 1.052035 0.180763 0.180044 -0.225937 0.056503 -0.057245 0.000000 10.390273
1.926301 0.982202 0.982152 1.030980 0.120614 0.120487 -0.167905 0.050021 -0.050492 0.000000 10.363178
2.033317 0.992293 0.992249 1.015975 0.069812 0.069993 -0.113325 0.040585 -0.040767 0.000000 10.308680
2.140334 0.997598 0.997577 1.006493 0.031686 0.031905 -0.065285 0.028239 -0.028184 0.000000 10.220840
2.247351 0.999614 0.999610 1.001634 0.008610 0.008698 -0.027479 0.014187 -0.014053 0.000000 10.105735
2.354368 0.999988 0.999988 1.000110 0.000567 0.000572 -0.004183 0.002210 -0.002190 0.000000 9.925073
2.461384 1.000000 1.000000 1.000000 -0.000000 0.000000 0.000000 -0.000000 -0.000000 0.000000 9.806000
