Generated trajectory:
Group: 4 
ID: 8 
Name: vertical_fwd_y_up_z_011_011 
finalTime: 1.393811  
Cost: 1.403657  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.707100 0.707100 
To: 0.000000 1.000000 3.000000 0.000000 0.707100 0.707100 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.707100 0.707100 0.000000 0.000000 0.000000 9.806000
0.107216 0.000000 0.075776 2.075828 0.000000 0.706547 0.707754 -0.000761 0.000000 0.000000 9.826095
0.214432 0.000000 0.151587 2.151885 0.000000 0.708206 0.711428 -0.004005 0.000000 0.000000 9.850417
0.321649 0.000000 0.227761 2.228425 0.000000 0.713179 0.716411 -0.006582 0.000000 0.000000 9.854622
0.428865 0.000000 0.304580 2.305505 0.000000 0.719936 0.721342 -0.007304 0.000000 0.000000 9.849290
0.536081 0.000000 0.382122 2.383065 0.000000 0.726263 0.725212 -0.005842 0.000000 0.000000 9.835477
0.643297 0.000000 0.460229 2.460951 0.000000 0.730222 0.727336 -0.003000 0.000000 0.000000 9.817084
0.750513 0.000000 0.538584 2.538955 0.000000 0.730816 0.727395 0.000411 0.000000 0.000000 9.797238
0.857730 0.000000 0.616812 2.616853 0.000000 0.727887 0.725366 0.003539 0.000000 0.000000 9.778568
0.964946 0.000000 0.694572 2.694432 0.000000 0.722320 0.721533 0.005315 0.000000 0.000000 9.764446
1.072162 0.000000 0.771670 2.771533 0.000000 0.715885 0.716604 0.005182 0.000000 0.000000 9.758815
1.179378 0.000000 0.848122 2.848093 0.000000 0.710593 0.711598 0.003185 0.000000 0.000000 9.762597
1.286595 0.000000 0.924144 2.924165 0.000000 0.707994 0.707868 0.000528 0.000000 0.000000 9.786302
1.393811 0.000000 1.000000 3.000000 0.000000 0.707100 0.707100 -0.000000 0.000000 0.000000 9.806000
