Generated trajectory:
Group: 6 
ID: 11 
Name: up_down_smooth_revx_downz_revx_upz 
finalTime: 2.103121  
Cost: 2.877945  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -0.707100 0.000000 -0.707100 
To: -1.000000 0.000000 2.000000 -0.707100 0.000000 0.707100 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -0.707100 0.000000 -0.707100 0.000000 0.000000 0.000000 9.806000
0.100149 -0.070754 0.000000 1.929287 -0.705145 0.000000 -0.702969 0.000000 0.004949 0.000000 9.931585
0.200297 -0.140762 0.000000 1.859889 -0.689022 0.000000 -0.679569 0.000000 0.027518 0.000000 10.136219
0.300446 -0.207901 0.000000 1.793714 -0.647566 0.000000 -0.639496 0.000000 0.051444 0.000000 10.293816
0.400594 -0.269713 0.000000 1.732277 -0.583643 0.000000 -0.585208 0.000000 0.069181 0.000000 10.438134
0.500743 -0.324311 0.000000 1.676909 -0.505066 0.000000 -0.518604 0.000000 0.077733 0.000000 10.559839
0.600892 -0.370717 0.000000 1.628765 -0.421705 0.000000 -0.441116 0.000000 0.076918 0.000000 10.662386
0.701040 -0.408940 0.000000 1.588877 -0.343155 0.000000 -0.353995 0.000000 0.067832 0.000000 10.743752
0.801189 -0.439883 0.000000 1.558125 -0.277487 0.000000 -0.258955 0.000000 0.052513 0.000000 10.804185
0.901337 -0.465152 0.000000 1.537212 -0.230697 0.000000 -0.157846 0.000000 0.032759 0.000000 10.844984
1.001486 -0.486863 0.000000 1.526636 -0.206964 0.000000 -0.052948 0.000000 0.010229 0.000000 10.865293
1.101635 -0.507444 0.000000 1.526650 -0.208265 0.000000 0.053231 0.000000 -0.012971 0.000000 10.865411
1.201783 -0.529410 0.000000 1.537253 -0.234426 0.000000 0.158081 0.000000 -0.035271 0.000000 10.845147
1.301932 -0.555161 0.000000 1.558185 -0.283341 0.000000 0.259095 0.000000 -0.054870 0.000000 10.804577
1.402080 -0.586783 0.000000 1.588946 -0.350791 0.000000 0.354020 0.000000 -0.069883 0.000000 10.743658
1.502229 -0.625833 0.000000 1.628828 -0.430435 0.000000 0.440970 0.000000 -0.078330 0.000000 10.662352
1.602378 -0.673131 0.000000 1.676953 -0.514028 0.000000 0.518412 0.000000 -0.078517 0.000000 10.560429
1.702526 -0.728602 0.000000 1.732302 -0.591947 0.000000 0.585028 0.000000 -0.069208 0.000000 10.438541
1.802675 -0.791173 0.000000 1.793725 -0.654257 0.000000 0.639379 0.000000 -0.050732 0.000000 10.294204
1.902823 -0.858867 0.000000 1.859891 -0.693326 0.000000 0.679525 0.000000 -0.026232 0.000000 10.136497
2.002972 -0.929169 0.000000 1.929287 -0.706799 0.000000 0.702965 0.000000 -0.004155 0.000000 9.931699
2.103121 -1.000000 0.000000 2.000000 -0.707100 0.000000 0.707100 0.000000 -0.000000 0.000000 9.806000
