Generated trajectory:
Group: 6 
ID: 12 
Name: up_down_smooth_fwdy_upz_fwdy_downz 
finalTime: 2.104019  
Cost: 2.814932  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.707100 0.707100 
To: 0.000000 1.000000 2.000000 0.000000 0.707100 -0.707100 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.707100 0.707100 0.000000 0.000000 0.000000 9.806000
0.100191 0.000000 0.070787 2.070743 0.000000 0.705284 0.703058 0.004463 0.000000 0.000000 9.686826
0.200383 0.000000 0.140914 2.140217 0.000000 0.691173 0.680483 0.025673 0.000000 0.000000 9.492731
0.300574 0.000000 0.208499 2.206541 0.000000 0.653869 0.640805 0.052094 0.000000 0.000000 9.343308
0.400766 0.000000 0.271157 2.268093 0.000000 0.593345 0.585376 0.076122 0.000000 0.000000 9.206542
0.500957 0.000000 0.326792 2.323374 0.000000 0.514910 0.515982 0.092455 0.000000 0.000000 9.090688
0.601148 0.000000 0.374035 2.371100 0.000000 0.427504 0.435018 0.097794 0.000000 0.000000 8.992997
0.701340 0.000000 0.412513 2.410254 0.000000 0.341773 0.345382 0.090758 0.000000 0.000000 8.915880
0.801531 0.000000 0.442925 2.440121 0.000000 0.268077 0.250071 0.072722 0.000000 0.000000 8.858273
0.901722 0.000000 0.466905 2.460249 0.000000 0.214479 0.151298 0.046683 0.000000 0.000000 8.819249
1.001914 0.000000 0.486775 2.470381 0.000000 0.186918 0.050785 0.014590 0.000000 0.000000 8.799945
1.102105 0.000000 0.505354 2.470407 0.000000 0.189001 -0.050285 -0.019685 0.000000 0.000000 8.799867
1.202297 0.000000 0.525634 2.460318 0.000000 0.220509 -0.150949 -0.051461 0.000000 0.000000 8.819303
1.302488 0.000000 0.550404 2.440213 0.000000 0.277767 -0.249978 -0.077182 0.000000 0.000000 8.858081
1.402679 0.000000 0.581933 2.410340 0.000000 0.354086 -0.345577 -0.093430 0.000000 0.000000 8.916260
1.502871 0.000000 0.621697 2.371162 0.000000 0.440562 -0.435271 -0.098605 0.000000 0.000000 8.993819
1.603062 0.000000 0.670217 2.323412 0.000000 0.527113 -0.516209 -0.091964 0.000000 0.000000 9.090695
1.703254 0.000000 0.726982 2.268111 0.000000 0.603558 -0.585543 -0.074791 0.000000 0.000000 9.206414
1.803445 0.000000 0.790532 2.206546 0.000000 0.661340 -0.640885 -0.050328 0.000000 0.000000 9.343270
1.903636 0.000000 0.858712 2.140218 0.000000 0.695593 -0.680503 -0.023926 0.000000 0.000000 9.492709
2.003828 0.000000 0.929136 2.070743 0.000000 0.706937 -0.703059 -0.003652 0.000000 0.000000 9.686824
2.104019 0.000000 1.000000 2.000000 0.000000 0.707100 -0.707100 0.000000 0.000000 0.000000 9.806000
