Generated trajectory:
Group: 7 
ID: 11 
Name: smooth_down_revy 
finalTime: 1.942732  
Cost: 2.439695  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 -1.000000 
To: 0.000000 -1.000000 1.000000 0.000000 -1.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 -1.000000 0.000000 0.000000 0.000000 9.806000
0.097137 0.000000 -0.000014 1.902931 0.000000 -0.000690 -0.997171 0.002827 0.000000 0.000000 9.895202
0.194273 0.000000 -0.000390 1.806742 0.000000 -0.009296 -0.980942 0.016249 0.000000 0.000000 10.042823
0.291410 0.000000 -0.002329 1.712744 0.000000 -0.033392 -0.952593 0.032924 0.000000 0.000000 10.160786
0.388546 0.000000 -0.007417 1.622028 0.000000 -0.074067 -0.913534 0.048884 0.000000 0.000000 10.271122
0.485683 0.000000 -0.017216 1.535567 0.000000 -0.130077 -0.865239 0.062576 0.000000 0.000000 10.367106
0.582820 0.000000 -0.033092 1.454194 0.000000 -0.198572 -0.808948 0.072690 0.000000 0.000000 10.451104
0.679956 0.000000 -0.056082 1.378632 0.000000 -0.275991 -0.745827 0.079363 0.000000 0.000000 10.519821
0.777093 0.000000 -0.086891 1.309476 0.000000 -0.359034 -0.677268 0.083103 0.000000 0.000000 10.572562
0.874230 0.000000 -0.125927 1.247192 0.000000 -0.444988 -0.604541 0.084537 0.000000 0.000000 10.610048
0.971366 0.000000 -0.173353 1.192120 0.000000 -0.531353 -0.529013 0.083654 0.000000 0.000000 10.630748
1.068503 0.000000 -0.229095 1.144461 0.000000 -0.615885 -0.452174 0.081010 0.000000 0.000000 10.633837
1.165639 0.000000 -0.292883 1.104266 0.000000 -0.696711 -0.375625 0.076707 0.000000 0.000000 10.618675
1.262776 0.000000 -0.364268 1.071424 0.000000 -0.771997 -0.301049 0.070655 0.000000 0.000000 10.584650
1.359913 0.000000 -0.442612 1.045659 0.000000 -0.839577 -0.230210 0.062425 0.000000 0.000000 10.530653
1.457049 0.000000 -0.527062 1.026517 0.000000 -0.897452 -0.165039 0.052510 0.000000 0.000000 10.455854
1.554186 0.000000 -0.616587 1.013348 0.000000 -0.943717 -0.107551 0.040427 0.000000 0.000000 10.360360
1.651323 0.000000 -0.709961 1.005304 0.000000 -0.976453 -0.059915 0.026680 0.000000 0.000000 10.240922
1.748459 0.000000 -0.805822 1.001310 0.000000 -0.994933 -0.024469 0.012728 0.000000 0.000000 10.105376
1.845596 0.000000 -0.902825 1.000088 0.000000 -1.000512 -0.003671 0.001954 0.000000 0.000000 9.921195
1.942732 0.000000 -1.000000 1.000000 0.000000 -1.000000 -0.000000 0.000000 0.000000 0.000000 9.806000
