Generated trajectory:
Group: 7 
ID: 13 
Name: smooth_down_fwdxrevy 
finalTime: 1.985099  
Cost: 2.511323  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 -1.000000 
To: 1.000000 -1.000000 1.000000 0.707100 -0.707100 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 -1.000000 0.000000 0.000000 0.000000 9.806000
0.099255 0.000027 -0.000027 1.900831 0.001338 -0.001347 -0.996482 0.005395 0.005363 0.000000 9.914245
0.198510 0.000772 -0.000776 1.802767 0.017913 -0.017990 -0.976768 0.030227 0.030133 0.000000 10.088942
0.297765 0.004523 -0.004542 1.707345 0.062383 -0.062624 -0.944239 0.057818 0.057707 0.000000 10.220287
0.397020 0.014026 -0.014079 1.615646 0.133009 -0.133439 -0.902109 0.080041 0.080179 0.000000 10.337932
0.496275 0.031579 -0.031676 1.528516 0.223263 -0.223666 -0.852419 0.094051 0.094660 0.000000 10.434168
0.595530 0.058706 -0.058828 1.446653 0.324401 -0.324460 -0.796042 0.099285 0.100207 0.000000 10.511481
0.694785 0.096039 -0.096145 1.370705 0.427493 -0.427155 -0.733281 0.096895 0.097622 0.000000 10.569545
0.794039 0.143373 -0.143440 1.301286 0.524785 -0.524389 -0.664580 0.088392 0.088584 0.000000 10.609035
0.893294 0.199827 -0.199867 1.238947 0.610439 -0.610342 -0.590836 0.075258 0.075109 0.000000 10.630478
0.992549 0.264028 -0.264077 1.184119 0.680313 -0.680575 -0.513514 0.058725 0.058555 0.000000 10.633886
1.091804 0.334269 -0.334353 1.137062 0.731904 -0.732298 -0.434597 0.040598 0.040660 0.000000 10.619619
1.191059 0.408689 -0.408806 1.097824 0.764533 -0.764768 -0.356377 0.022715 0.022964 0.000000 10.588946
1.290314 0.485444 -0.485570 1.066218 0.779274 -0.779212 -0.281183 0.006605 0.006928 0.000000 10.541340
1.389569 0.562862 -0.562964 1.041828 0.778362 -0.777911 -0.211367 -0.007003 -0.006616 0.000000 10.476220
1.488824 0.639564 -0.639605 1.024014 0.765664 -0.764954 -0.148953 -0.015561 -0.015545 0.000000 10.395006
1.588079 0.714648 -0.714629 1.011961 0.746754 -0.746378 -0.095526 -0.018255 -0.018850 0.000000 10.298687
1.687334 0.787797 -0.787769 1.004709 0.727658 -0.727808 -0.052471 -0.016054 -0.016360 0.000000 10.185350
1.786589 0.859272 -0.859264 1.001154 0.713811 -0.713973 -0.021170 -0.009372 -0.009173 0.000000 10.062008
1.885844 0.929775 -0.929775 1.000077 0.708160 -0.708172 -0.003153 -0.001540 -0.001487 0.000000 9.903098
1.985099 1.000000 -1.000000 1.000000 0.707100 -0.707100 -0.000000 -0.000000 0.000000 0.000000 9.806000
