Generated trajectory:
Group: 8 
ID: 0 
Name: forward_short_x_05 
finalTime: 1.630488  
Cost: 1.884583  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: 0.500000 0.000000 2.000000 0.000000 0.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.101905 0.000066 0.000000 2.000008 0.003214 0.000000 0.000357 0.000000 0.012625 0.000000 9.818642
0.203811 0.001877 0.000000 2.000120 0.041948 0.000000 0.001791 0.000000 0.068917 0.000000 9.838287
0.305716 0.010659 0.000000 2.000290 0.139400 0.000000 0.000960 0.000000 0.122711 0.000000 9.855268
0.407622 0.031752 0.000000 2.000203 0.279589 0.000000 -0.003073 0.000000 0.152736 0.000000 9.871761
0.509527 0.068138 0.000000 1.999630 0.434258 0.000000 -0.008058 0.000000 0.151252 0.000000 9.876687
0.611433 0.119676 0.000000 1.998648 0.571936 0.000000 -0.010431 0.000000 0.119615 0.000000 9.880033
0.713338 0.183191 0.000000 1.997704 0.665322 0.000000 -0.007146 0.000000 0.064242 0.000000 9.884827
0.815244 0.253116 0.000000 1.997331 0.695623 0.000000 0.000187 0.000000 -0.003410 0.000000 9.885922
0.917149 0.322644 0.000000 1.997742 0.657965 0.000000 0.007494 0.000000 -0.068727 0.000000 9.887109
1.019055 0.385157 0.000000 1.998718 0.560024 0.000000 0.010731 0.000000 -0.121828 0.000000 9.883158
1.120960 0.435344 0.000000 1.999732 0.420080 0.000000 0.008356 0.000000 -0.151184 0.000000 9.874246
1.222866 0.470321 0.000000 2.000317 0.266839 0.000000 0.002973 0.000000 -0.148962 0.000000 9.862012
1.324771 0.490306 0.000000 2.000373 0.130485 0.000000 -0.001428 0.000000 -0.118570 0.000000 9.847576
1.426677 0.498391 0.000000 2.000150 0.037296 0.000000 -0.002272 0.000000 -0.064255 0.000000 9.838194
1.528582 0.499949 0.000000 2.000010 0.002527 0.000000 -0.000441 0.000000 -0.010308 0.000000 9.821012
1.630488 0.500000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
