Generated trajectory:
Group: 8 
ID: 12 
Name: backward_short_y_025 
finalTime: 1.354156  
Cost: 1.562873  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: 0.000000 -0.250000 2.000000 0.000000 0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.104166 0.000000 -0.000071 2.000004 0.000000 -0.003349 0.000200 0.012856 0.000000 0.000000 9.813921
0.208332 0.000000 -0.001980 2.000067 0.000000 -0.042926 0.000942 0.067633 0.000000 0.000000 9.831383
0.312498 0.000000 -0.010932 2.000134 0.000000 -0.136056 -0.000146 0.109283 0.000000 0.000000 9.840722
0.416663 0.000000 -0.031192 1.999957 0.000000 -0.253968 -0.003308 0.115385 0.000000 0.000000 9.844171
0.520829 0.000000 -0.063397 1.999514 0.000000 -0.359264 -0.004599 0.085551 0.000000 0.000000 9.848800
0.624995 0.000000 -0.104460 1.999137 0.000000 -0.419624 -0.002057 0.030075 0.000000 0.000000 9.850158
0.729161 0.000000 -0.148615 1.999151 0.000000 -0.417167 0.002307 -0.033833 0.000000 0.000000 9.849919
0.833327 0.000000 -0.189199 1.999543 0.000000 -0.352801 0.004606 -0.087863 0.000000 0.000000 9.847895
0.937493 0.000000 -0.220603 1.999974 0.000000 -0.245404 0.003135 -0.115715 0.000000 0.000000 9.845495
1.041659 0.000000 -0.239985 2.000146 0.000000 -0.128332 0.000218 -0.106628 0.000000 0.000000 9.838399
1.145825 0.000000 -0.248292 2.000078 0.000000 -0.038493 -0.001070 -0.063790 0.000000 0.000000 9.827807
1.249990 0.000000 -0.249946 2.000004 0.000000 -0.002634 -0.000230 -0.010531 0.000000 0.000000 9.814657
1.354156 0.000000 -0.250000 2.000000 0.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 9.806000
