Generated trajectory:
Group: 9 
ID: 4 
Name: up_short_z_12 
finalTime: 1.342666  
Cost: 2.785428  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 1.000000 
To: 0.000000 0.000000 4.000000 0.000000 0.000000 2.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 9.806000
0.103282 0.000000 0.000000 2.103457 0.000000 0.000000 1.006835 0.000000 0.000000 0.000000 10.006326
0.206564 0.000000 0.000000 2.209150 0.000000 0.000000 1.045367 0.000000 0.000000 0.000000 10.326042
0.309846 0.000000 0.000000 2.320304 0.000000 0.000000 1.110988 0.000000 0.000000 0.000000 10.554411
0.413128 0.000000 0.000000 2.439402 0.000000 0.000000 1.198578 0.000000 0.000000 0.000000 10.746197
0.516410 0.000000 0.000000 2.568474 0.000000 0.000000 1.303194 0.000000 0.000000 0.000000 10.883356
0.619692 0.000000 0.000000 2.708981 0.000000 0.000000 1.419033 0.000000 0.000000 0.000000 10.963463
0.722974 0.000000 0.000000 2.861776 0.000000 0.000000 1.540125 0.000000 0.000000 0.000000 10.984456
0.826256 0.000000 0.000000 3.027080 0.000000 0.000000 1.660164 0.000000 0.000000 0.000000 10.942382
0.929538 0.000000 0.000000 3.204441 0.000000 0.000000 1.772502 0.000000 0.000000 0.000000 10.835383
1.032820 0.000000 0.000000 3.392712 0.000000 0.000000 1.870151 0.000000 0.000000 0.000000 10.655109
1.136102 0.000000 0.000000 3.589982 0.000000 0.000000 1.945785 0.000000 0.000000 0.000000 10.417083
1.239384 0.000000 0.000000 3.793648 0.000000 0.000000 1.991737 0.000000 0.000000 0.000000 10.047822
1.342666 0.000000 0.000000 4.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 9.806000
